$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$SETUP2;sec ; km/h;;    m;    V;    V;  mAh;;;;    m;    A;  m/s;    m;   °C;    m;% LQI;
$D;0001,00;0,1;;7300;11,5;3,9;748;;;;0;0,1;0,0;5;-0;0;100;*3D
$D;0002,00;0,7;;7300;11,5;3,9;748;;;;0;0,1;0,0;5;-0;0;100;*49
$D;0003,00;0,4;;7300;11,5;3,9;748;;;;-1;0,1;0,0;5;-0;0;100;*C1
$D;0004,00;0,6;;7300;11,5;3,9;749;;;;-1;0,1;0,0;5;-0;0;100;*B5
$D;0005,00;0,1;;7300;11,5;3,9;749;;;;-1;0,2;0,0;5;-0;0;100;*0D
$D;0006,00;0,4;;7300;11,5;3,9;749;;;;-1;0,1;0,2;5;-0;0;100;*C6
$D;0007,00;0,8;;7300;11,5;3,9;749;;;;0;0,2;0,1;5;-0;0;100;*94
$D;0008,00;1,1;;7300;11,5;3,9;749;;;;0;0,2;0,2;5;-0;0;100;*24
$D;0009,00;0,0;;7300;11,5;3,9;749;;;;0;0,2;0,0;5;-0;0;100;*66
$D;0010,00;0,1;;7300;11,5;3,9;749;;;;0;0,2;0,0;5;-0;0;100;*D8
$D;0011,00;0,1;;7300;11,5;3,9;749;;;;0;0,2;0,1;5;-0;0;100;*76
$D;0012,00;0,4;;7300;11,5;3,9;749;;;;0;0,2;0,0;5;-0;0;100;*74
$D;0013,00;1,3;;7300;11,5;3,9;749;;;;0;0,2;0,1;5;-0;0;100;*A9
$D;0014,00;0,0;;7300;11,5;3,9;749;;;;0;0,2;0,0;5;-0;0;100;*9E
$D;0015,00;0,6;;7300;11,5;3,9;749;;;;0;0,2;0,0;5;-0;0;100;*21
$D;0016,00;0,4;;7300;11,5;3,9;749;;;;0;0,2;0,1;5;-0;0;100;*87
$D;0017,00;0,0;;7300;11,5;3,9;749;;;;0;0,2;0,0;5;-0;0;100;*FD
$D;0018,00;0,0;;7300;11,5;3,9;749;;;;0;0,2;0,0;5;-0;0;100;*22
$D;0019,00;0,1;;7300;11,5;3,9;749;;;;0;0,2;0,0;5;-0;0;100;*91
$D;0020,00;0,8;;7300;11,5;3,9;750;;;;0;0,2;0,0;5;-0;0;100;*CE
$D;0021,00;0,2;;7300;11,5;3,9;750;;;;0;0,2;0,0;5;-0;0;100;*0F
$D;0022,00;0,1;;7300;11,5;3,9;750;;;;0;0,2;0,0;5;-0;0;100;*09
$D;0023,00;1,1;;7300;11,5;3,9;750;;;;0;0,2;0,0;5;-0;0;100;*B3
$D;0024,00;0,8;;7300;11,5;3,9;750;;;;0;0,2;0,0;5;-0;0;100;*7A
$D;0025,00;0,3;;7300;11,5;3,9;750;;;;0;0,2;0,0;5;-0;0;100;*31
$D;0026,00;0,4;;7300;11,5;3,9;750;;;;0;0,2;0,0;5;-0;0;100;*B0
$D;0027,00;0,1;;7300;11,5;3,9;750;;;;-1;0,2;0,0;5;-0;0;100;*81
$D;0028,00;0,1;;7300;11,5;3,9;750;;;;-1;0,2;0,0;5;-0;0;100;*08
$D;0029,00;1,0;;7300;11,5;3,9;750;;;;-1;0,2;0,0;5;-0;0;100;*AD
$D;0030,00;0,1;;7300;11,5;3,9;750;;;;-1;0,2;0,0;5;-0;0;100;*E6
$D;0031,00;0,4;;7300;11,5;3,9;750;;;;-1;0,2;0,1;5;-0;0;100;*6D
$D;0032,00;0,2;;7300;11,5;3,9;750;;;;0;0,2;0,0;5;-0;0;100;*20
$D;0033,00;0,6;;7300;11,5;3,9;750;;;;0;0,2;0,1;5;-0;0;100;*DE
$D;0034,00;0,4;;7300;11,5;3,9;750;;;;0;0,2;0,0;5;-0;0;100;*0F
$D;0035,00;1,2;;7300;11,5;3,9;751;;;;-1;0,2;0,0;5;-0;0;100;*22
$D;0036,00;0,2;;7300;11,5;3,9;751;;;;-1;0,2;0,0;5;-0;0;100;*95
$D;0037,00;0,7;;7300;11,5;3,9;751;;;;-1;0,2;0,0;5;-0;0;100;*CF
$D;0038,00;0,5;;7300;11,5;3,9;751;;;;-1;0,2;0,0;5;-0;0;100;*72
$D;0039,00;1,2;;7300;11,5;3,9;751;;;;-1;0,2;0,0;5;-0;0;100;*B4
$D;0040,00;0,8;;7300;11,5;3,9;751;;;;-1;0,2;0,0;5;-0;0;100;*BA
$D;0041,00;0,7;;7300;11,5;3,9;751;;;;-1;0,2;0,1;5;-0;0;100;*14
$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$SETUP2;sec ;  mAh;;    m;    V;    V;  mAh;;;;    m;    A;  m/s;    m;   °C;    m;% LQI;
$D;0042,00;902;;7300;11,5;3,9;751;;;;0;0,2;0,0;5;-0;0;100;*5B
$D;0043,00;902;;7300;11,5;3,9;751;;;;0;0,2;0,0;4;-0;0;100;*C8
$D;0044,00;902;;7300;11,5;3,9;751;;;;-1;0,2;0,0;4;-0;0;100;*14
$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$SETUP2;sec ;   ml;;    m;    V;    V;  mAh;;;;    m;    A;  m/s;    m;   °C;    m;% LQI;
$D;0045,00;3064;;7300;11,5;3,9;751;;;;-1;0,2;0,0;4;-0;0;100;*A6
$D;0046,00;3064;;7300;11,5;3,9;751;;;;-1;0,1;0,0;4;-0;0;100;*0C
$D;0047,00;3065;;7300;11,5;3,9;751;;;;-1;0,1;0,0;4;-0;0;100;*BA
$D;0048,00;3066;;7300;11,5;3,9;751;;;;-1;0,2;0,1;4;-0;0;100;*83
$D;0049,00;3066;;7300;11,5;3,9;751;;;;-1;0,2;0,0;4;-0;0;100;*5A
$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$SETUP2;sec ;  mAh;;    m;    V;    V;  mAh;;;;    m;    A;  m/s;    m;   °C;    m;% LQI;
$D;0050,00;902;;7300;11,5;3,9;751;;;;-1;0,1;0,0;3;-0;0;100;*D1
$D;0051,00;902;;7300;11,5;3,9;751;;;;-1;0,1;0,1;4;-0;0;100;*60
$D;0052,00;902;;7300;11,5;3,9;752;;;;-1;0,1;0,0;3;-0;0;100;*9E
$D;0053,00;902;;7300;11,5;3,9;752;;;;-1;0,1;0,0;2;-0;0;100;*B6
$D;0054,00;902;;7300;11,5;3,9;752;;;;-1;0,1;0,0;2;-0;0;100;*49
$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$SETUP2;sec ;   ml;;    m;    V;    V;  mAh;;;;    m;    A;  m/s;    m;   °C;    m;% LQI;
$D;0055,00;3080;;7300;11,5;3,9;752;;;;-1;0,1;0,0;2;-0;0;100;*78
$D;0056,00;3081;;7300;11,5;3,9;752;;;;-1;0,1;0,1;2;-0;0;100;*AF
$D;0057,00;3082;;7300;11,5;3,9;752;;;;-1;0,1;0,1;2;-0;0;100;*13
$D;0058,00;3079;;7300;11,5;3,9;752;;;;-1;0,1;0,0;2;-0;0;100;*51
$D;0059,00;3076;;7300;11,5;3,9;752;;;;-1;0,1;0,0;2;-0;0;100;*AC
$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$SETUP2;sec ;  mAh;;    m;    V;    V;  mAh;;;;    m;    A;  m/s;    m;   °C;    m;% LQI;
$D;0060,00;902;;7300;11,5;3,9;752;;;;-1;0,1;0,1;3;-0;0;100;*F4
$D;0061,00;902;;7300;11,5;3,9;752;;;;-1;0,1;0,0;3;-0;0;100;*2B
$D;0062,00;902;;7300;11,5;3,9;752;;;;-1;0,1;0,0;3;-0;0;100;*FB
$D;0063,00;902;;7300;11,5;3,9;752;;;;-1;0,1;0,0;3;-0;0;100;*C6
$D;0064,00;902;;7300;11,5;3,9;752;;;;-1;0,1;0,0;3;-0;0;100;*40
$D;0065,00;902;;7300;11,5;3,9;752;;;;-1;0,1;0,1;3;-0;0;100;*6B
$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$SETUP2;sec ;   ml;;    m;    V;    V;  mAh;;;;    m;    A;  m/s;    m;   °C;    m;% LQI;
$D;0066,00;3067;;7300;11,5;3,9;752;;;;-1;0,2;0,0;3;-0;0;100;*39
$D;0067,00;3067;;7300;11,5;3,9;752;;;;-1;0,2;0,0;3;-0;0;100;*E6
$D;0068,00;3068;;7300;11,5;3,9;752;;;;-1;0,1;0,0;3;-0;0;100;*E9
$D;0069,00;3068;;7300;11,5;3,9;752;;;;-1;0,1;0,1;3;-0;0;100;*2F
$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$SETUP2;sec ;  mAh;;    m;    V;    V;  mAh;;;;    m;    A;  m/s;    m;   °C;    m;% LQI;
$D;0070,00;902;;7300;11,5;3,9;752;;;;-1;0,1;0,0;3;-0;0;100;*FE
$D;0071,00;902;;7300;11,5;3,9;753;;;;-1;0,1;0,0;3;-0;0;100;*50
$D;0072,00;902;;7300;11,5;3,9;753;;;;-1;0,1;0,0;3;-0;0;100;*84
$D;0073,00;902;;7300;11,5;3,9;753;;;;-1;0,2;0,0;3;-0;0;100;*F1
$D;0074,00;902;;7300;11,5;3,9;753;;;;-1;0,1;0,0;3;-0;0;100;*58
$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$SETUP2;sec ;   ml;;    m;    V;    V;  mAh;;;;    m;    A;  m/s;    m;   °C;    m;% LQI;
$D;0075,00;3068;;7300;11,5;3,9;753;;;;-1;0,1;0,0;3;-0;0;100;*7C
$D;0076,00;3068;;7300;11,5;3,9;753;;;;-1;0,1;0,0;3;-0;0;100;*47
$D;0077,00;3068;;7300;11,5;3,9;753;;;;-1;0,1;0,0;3;-0;0;100;*E1
$D;0078,00;3068;;7300;11,5;3,9;753;;;;-1;0,1;0,2;3;-0;0;100;*E2
$D;0079,00;3068;;7300;11,5;3,9;753;;;;-1;0,1;0,0;3;-0;0;100;*35
$D;0080,00;3067;;7300;11,5;3,9;753;;;;-1;0,1;0,0;3;-0;0;100;*FB
$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$SETUP2;sec ;  mAh;;    m;    V;    V;  mAh;;;;    m;    A;  m/s;    m;   °C;    m;% LQI;
$D;0081,00;902;;7300;11,5;3,9;753;;;;-1;0,1;0,0;3;-0;0;100;*5B
$D;0082,00;902;;7300;11,5;3,9;753;;;;-1;0,1;0,1;3;-0;0;100;*C2
$D;0083,00;902;;7300;11,5;3,9;753;;;;-1;0,1;0,0;3;-0;0;100;*8E
$D;0084,00;902;;7300;11,5;3,9;753;;;;-1;0,1;0,0;3;-0;0;100;*55
$D;0085,00;902;;7300;11,5;3,9;753;;;;-1;0,1;0,0;3;-0;0;100;*96
$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$SETUP2;sec ;   ml;;    m;    V;    V;  mAh;;;;    m;    A;  m/s;    m;   °C;    m;% LQI;
$D;0086,00;3067;;7300;11,5;3,9;753;;;;-1;0,1;0,0;3;-0;0;100;*21
$D;0087,00;3067;;7300;11,5;3,9;753;;;;-1;0,1;0,0;3;-0;0;100;*D7
$D;0088,00;3067;;7300;11,5;3,9;753;;;;-1;0,1;0,0;3;-0;0;100;*F5
$D;0089,00;3067;;7300;11,5;3,9;753;;;;0;0,1;0,1;3;-0;0;100;*52
$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$SETUP2;sec ;  mAh;;    m;    V;    V;  mAh;;;;    m;    A;  m/s;    m;   °C;    m;% LQI;
$D;0090,00;902;;7300;11,5;3,9;754;;;;0;0,1;0,2;3;-0;0;100;*0A
$D;0091,00;902;;7300;11,5;3,9;754;;;;-1;0,1;0,0;3;-0;0;100;*64
$D;0092,00;902;;7300;11,5;3,9;754;;;;-1;0,1;0,0;3;-0;0;100;*BC
$D;0093,00;902;;7300;11,5;3,9;754;;;;-1;0,1;0,0;3;-0;0;100;*E6
$D;0094,00;902;;7300;11,5;3,9;754;;;;0;0,1;0,1;3;-0;0;100;*36
$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$SETUP2;sec ;   ml;;    m;    V;    V;  mAh;;;;    m;    A;  m/s;    m;   °C;    m;% LQI;
$D;0095,00;3066;;7300;11,5;3,9;754;;;;0;0,1;0,1;3;-0;0;100;*6F
$D;0096,00;3066;;7300;11,5;3,9;754;;;;0;0,1;0,0;3;-0;0;100;*70
$D;0097,00;3066;;7300;11,5;3,9;754;;;;0;0,1;0,0;3;-0;0;100;*C3
$D;0098,00;3066;;7300;11,5;3,9;754;;;;-1;0,2;0,0;3;-0;0;100;*E9
$D;0099,00;3066;;7300;11,5;3,9;754;;;;-1;0,1;0,0;3;-0;0;100;*43
$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$SETUP2;sec ;  mAh;;    m;    V;    V;  mAh;;;;    m;    A;  m/s;    m;   °C;    m;% LQI;
$D;0100,00;902;;7300;11,5;3,9;754;;;;-1;0,1;0,0;3;-0;0;100;*1A
$D;0101,00;902;;7300;11,5;3,9;754;;;;0;0,1;0,0;3;-0;0;100;*1A
$D;0102,00;902;;7300;11,5;3,9;754;;;;0;0,1;0,0;3;-0;0;100;*F9
$D;0103,00;902;;7300;11,5;3,9;754;;;;-1;0,1;0,0;3;-0;0;100;*40
$D;0104,00;902;;7300;11,5;3,9;754;;;;-1;0,1;0,1;3;-0;0;100;*57
$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$SETUP2;sec ;   ml;;    m;    V;    V;  mAh;;;;    m;    A;  m/s;    m;   °C;    m;% LQI;
$D;0105,00;3066;;7300;11,5;3,9;754;;;;0;0,1;0,0;3;-0;0;100;*6C
$D;0106,00;3066;;7300;11,5;3,9;754;;;;0;0,1;0,0;3;-0;0;100;*75
$D;0107,00;3066;;7300;11,5;3,9;754;;;;-1;0,1;0,0;3;-0;0;100;*D9
$D;0108,00;3066;;7300;11,5;3,9;754;;;;-1;0,1;0,0;3;-0;0;100;*03
$D;0109,00;3066;;7300;11,5;3,9;755;;;;-1;0,1;0,0;3;-0;0;100;*2F
$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$SETUP2;sec ;  mAh;;    m;    V;    V;  mAh;;;;    m;    A;  m/s;    m;   °C;    m;% LQI;
$D;0110,00;902;;7300;11,5;3,9;755;;;;-1;0,1;0,0;3;-0;0;100;*20
$D;0111,00;902;;7300;11,5;3,9;755;;;;-1;0,1;0,1;3;-0;0;100;*77
$D;0112,00;902;;7300;11,5;3,9;755;;;;-1;0,1;0,1;3;-0;0;100;*A7
$D;0113,00;902;;7300;11,5;3,9;755;;;;0;0,1;0,0;3;-0;0;100;*75
$D;0114,00;902;;7300;11,5;3,9;755;;;;0;0,1;0,1;3;-0;0;100;*64
$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$SETUP2;sec ;   ml;;    m;    V;    V;  mAh;;;;    m;    A;  m/s;    m;   °C;    m;% LQI;
$D;0115,00;3066;;7300;11,5;3,9;755;;;;0;0,1;0,0;3;-0;0;100;*56
$D;0116,00;3066;;7300;11,5;3,9;755;;;;-1;0,1;0,0;3;-0;0;100;*1E
$D;0117,00;3066;;7300;11,5;3,9;755;;;;-1;0,1;0,0;3;-0;0;100;*C4
$D;0118,00;3066;;7300;11,5;3,9;755;;;;0;0,1;0,2;3;-0;0;100;*0B
$D;0119,00;3066;;7300;11,5;3,9;755;;;;0;0,3;0,0;3;-0;0;100;*76
$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$SETUP2;sec ;  mAh;;    m;    V;    V;  mAh;;;;    m;    A;  m/s;    m;   °C;    m;% LQI;
$D;0120,00;902;;7300;11,5;3,9;755;;;;0;0,1;0,0;3;-0;0;100;*3D
$D;0121,00;902;;7300;11,5;3,9;755;;;;-1;0,1;0,0;3;-0;0;100;*43
$D;0122,00;902;;7300;11,5;3,9;755;;;;0;0,2;0,0;3;-0;0;100;*CB
$D;0123,00;902;;7300;11,5;3,9;755;;;;0;0,2;0,1;3;-0;0;100;*2E
$D;0124,00;902;;7300;11,5;3,9;755;;;;0;0,2;0,0;3;-0;0;100;*2C
$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$SETUP2;sec ;   ml;;    m;    V;    V;  mAh;;;;    m;    A;  m/s;    m;   °C;    m;% LQI;
$D;0125,00;3066;;7300;11,5;3,9;755;;;;-1;0,2;0,0;3;-0;0;100;*4D
$D;0126,00;3066;;7300;11,5;3,9;755;;;;-1;0,1;0,0;3;-0;0;100;*77
$D;0127,00;3066;;7300;11,5;3,9;756;;;;0;0,1;0,1;3;-0;0;100;*A3
$D;0128,00;3066;;7300;11,5;3,9;756;;;;0;0,1;0,0;3;-0;0;100;*3F
$D;0129,00;3066;;7300;11,5;3,9;756;;;;0;0,1;0,0;3;-0;0;100;*41
$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$SETUP2;sec ;  mAh;;    m;    V;    V;  mAh;;;;    m;    A;  m/s;    m;   °C;    m;% LQI;
$D;0130,00;902;;7300;11,5;3,9;756;;;;0;0,1;0,0;3;-0;0;100;*29
$D;0131,00;902;;7300;11,5;3,9;756;;;;0;0,1;0,0;3;-0;0;100;*C5
$D;0132,00;902;;7300;11,5;3,9;756;;;;0;0,1;0,0;3;-0;0;100;*F3
$D;0133,00;902;;7300;11,5;3,9;756;;;;-1;0,2;0,0;3;-0;0;100;*23
$D;0134,00;902;;7300;11,5;3,9;756;;;;-1;0,1;0,0;3;-0;0;100;*7C
$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$SETUP2;sec ;   ml;;    m;    V;    V;  mAh;;;;    m;    A;  m/s;    m;   °C;    m;% LQI;
$D;0135,00;3066;;7300;11,5;3,9;756;;;;-1;0,1;0,0;3;-0;0;100;*4C
$D;0136,00;3066;;7300;11,5;3,9;756;;;;0;0,2;0,2;3;-0;0;100;*99
$D;0137,00;3066;;7300;11,5;3,9;756;;;;0;0,1;0,0;3;-0;0;100;*88
$D;0138,00;3066;;7300;11,5;3,9;756;;;;0;0,1;0,0;3;-0;0;100;*74
$D;0139,00;3066;;7300;11,5;3,9;756;;;;0;0,1;0,0;3;-0;0;100;*3E
$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$SETUP2;sec ;  mAh;;    m;    V;    V;  mAh;;;;    m;    A;  m/s;    m;   °C;    m;% LQI;
$D;0140,00;902;;7300;11,5;3,9;756;;;;0;0,2;0,0;3;-0;0;100;*23
$D;0141,00;902;;7300;11,5;3,9;756;;;;0;0,2;0,0;3;-0;0;100;*C5
$D;0142,00;902;;7300;11,5;3,9;756;;;;0;0,2;0,0;3;-0;0;100;*E1
$D;0143,00;902;;7300;11,5;3,9;756;;;;0;0,1;0,1;3;-0;0;100;*1C
$D;0144,00;902;;7300;11,5;3,9;756;;;;0;0,1;0,4;3;-0;0;100;*42
$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$SETUP2;sec ;   ml;;    m;    V;    V;  mAh;;;;    m;    A;  m/s;    m;   °C;    m;% LQI;
$D;0145,00;3066;;7300;11,5;3,9;757;;;;0;0,1;0,5;3;-0;1;100;*31
$D;0146,00;3065;;7300;11,5;3,9;757;;;;0;0,1;0,1;3;-0;1;100;*F6
$D;0147,00;3063;;7300;11,5;3,9;757;;;;0;0,1;0,2;3;-0;1;100;*DF
$D;0148,00;3064;;7300;11,5;3,9;757;;;;0;0,1;0,1;3;-0;1;100;*4D
$D;0149,00;3066;;7300;11,5;3,9;757;;;;0;0,1;0,1;3;-0;1;100;*60
$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$SETUP2;sec ;  mAh;;    m;    V;    V;  mAh;;;;    m;    A;  m/s;    m;   °C;    m;% LQI;
$D;0150,00;902;;7300;11,5;3,9;757;;;;1;0,2;0,1;2;-0;2;100;*5C
$D;0151,00;902;;7300;11,5;3,9;757;;;;1;0,8;0,0;2;-0;2;100;*B0
$D;0152,00;902;;7300;11,3;3,8;758;;;;1;3,1;0,0;2;-0;2;100;*EB
$D;0153,00;902;;7300;11,4;3,8;762;;;;1;0,1;0,0;3;-0;1;100;*66
$D;0154,00;902;;7300;11,5;3,8;762;;;;1;0,1;0,0;3;-0;0;100;*2E
$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$SETUP2;sec ;   ml;;    m;    V;    V;  mAh;;;;    m;    A;  m/s;    m;   °C;    m;% LQI;
$D;0155,00;3054;;7300;11,5;3,8;762;;;;1;0,2;0,0;3;-0;0;100;*00
$D;0156,00;3054;;7300;11,5;3,9;762;;;;0;0,2;0,0;3;-0;0;100;*CC
$D;0157,00;3054;;7300;11,5;3,9;762;;;;0;0,2;0,0;3;-0;0;100;*B8
$D;0158,00;3054;;7300;11,5;3,9;762;;;;1;0,3;0,1;3;-0;0;100;*1D
$D;0159,00;3054;;7300;11,5;3,9;762;;;;1;0,2;0,0;3;-0;0;100;*A3
$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$SETUP2;sec ;  mAh;;    m;    V;    V;  mAh;;;;    m;    A;  m/s;    m;   °C;    m;% LQI;
$D;0160,00;902;;7300;11,5;3,9;762;;;;1;0,2;0,0;3;-0;0;100;*49
$D;0161,00;902;;7300;11,5;3,9;762;;;;1;0,3;0,0;3;-0;0;100;*C0
$D;0162,00;902;;7300;11,5;3,9;762;;;;1;0,2;0,1;3;-0;0;100;*CD
$D;0163,00;902;;7300;11,5;3,9;762;;;;1;0,2;0,0;3;-0;0;100;*6B
$D;0164,00;902;;7300;11,5;3,8;763;;;;1;0,8;0,0;3;-0;0;100;*BE
$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$SETUP2;sec ;   ml;;    m;    V;    V;  mAh;;;;    m;    A;  m/s;    m;   °C;    m;% LQI;
$D;0165,00;3054;;7300;10,7;3,6;771;;;;1;35,3;0,0;3;-0;0;100;*02
$D;0166,00;3052;;7300;10,6;3,6;776;;;;1;32,4;0,0;3;-0;0;100;*AD
$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$SETUP2;sec ; km/h;;    m;    V;    V;  mAh;;;;    m;    A;  m/s;    m;   °C;    m;% LQI;
$D;0167,00;19,5;;7300;10,6;3,6;788;;;;2;30,7;0,4;2;-0;0;100;*6E
$D;0168,00;49,3;;7300;10,6;3,6;792;;;;3;29,5;1,2;8;-0;2;100;*A5
$D;0169,00;61,8;;7300;10,6;3,6;802;;;;4;26,8;1,3;26;-0;3;100;*06
$D;0170,00;54,8;;7300;10,6;3,6;811;;;;8;27,0;2,5;35;-0;5;100;*E2
$D;0171,00;41,8;;7300;10,5;3,6;816;;;;12;28,4;5,9;53;-0;11;100;*69
$D;0172,00;42,7;;7400;10,5;3,5;826;;;;25;29,6;9,4;67;-0;11;100;*4D
$D;0173,00;44,3;;7400;10,5;3,5;837;;;;29;29,2;8,8;73;-0;30;100;*7E
$D;0174,00;38,6;;7400;10,5;3,5;842;;;;39;29,1;7,4;87;-0;37;100;*DD
$D;0175,00;39,4;;7400;10,4;3,5;851;;;;48;29,4;7,7;91;-0;37;100;*F3
$D;0176,00;43,8;;7400;10,4;3,5;856;;;;53;29,4;7,6;103;-0;52;100;*5A
$D;0177,00;41,2;;7400;10,4;3,5;866;;;;62;29,3;7,1;112;-0;58;100;*17
$D;0178,00;34,3;;7400;10,4;3,5;877;;;;66;29,5;7,0;117;-0;63;100;*AB
$D;0179,00;34,6;;7400;10,4;3,5;882;;;;75;29,6;6,8;128;-0;68;100;*4E
$D;0180,00;32,3;;7400;10,4;3,5;891;;;;83;29,7;6,5;138;-0;68;100;*43
$D;0181,00;30,5;;7400;10,3;3,5;901;;;;87;29,8;6,4;143;-0;65;100;*EE
$D;0182,00;32,5;;7400;10,3;3,5;907;;;;94;29,3;5,9;153;-0;62;100;*7B
$D;0183,00;36,4;;7400;10,3;3,5;917;;;;101;28,6;5,4;157;-0;61;100;*D8
$D;0184,00;34,9;;7500;10,3;3,5;922;;;;104;28,7;4,9;165;-0;57;100;*5A
$D;0185,00;37,8;;7500;10,3;3,5;932;;;;111;28,5;5,7;176;-0;57;100;*21
$D;0186,00;33,1;;7500;10,3;3,5;941;;;;114;28,6;6,0;180;-0;54;100;*D9
$D;0187,00;35,1;;7500;10,3;3,5;946;;;;123;29,1;6,9;192;-0;54;100;*78
$D;0188,00;36,2;;7500;10,3;3,5;957;;;;132;29,0;7,1;205;-0;54;100;*C7
$D;0189,00;34,1;;7500;10,3;3,5;962;;;;136;29,1;6,7;211;-0;55;100;*D8
$D;0190,00;33,6;;7500;10,3;3,5;971;;;;144;29,0;5,9;221;-0;54;100;*65
$D;0191,00;29,4;;7500;10,3;3,5;981;;;;151;29,3;5,9;227;-0;54;100;*61
$D;0192,00;29,3;;7500;10,3;3,5;986;;;;155;29,3;6,6;236;-0;56;100;*2C
$D;0193,00;30,3;;7500;10,5;3,6;996;;;;163;1,6;6,1;246;-0;56;100;*A6
$D;0194,00;34,6;;7500;11,0;3,7;996;;;;166;0,2;5,1;251;-0;57;100;*A5
$D;0195,00;33,1;;7500;11,1;3,7;996;;;;168;0,2;1,1;257;-0;52;100;*46
$D;0196,00;37,6;;7500;11,1;3,7;996;;;;166;1,3;0,0;260;-0;52;100;*9F
$D;0197,00;36,2;;7600;11,1;3,7;996;;;;165;0,6;0,0;264;-0;35;100;*58
$D;0198,00;36,1;;7600;11,2;3,7;996;;;;163;0,2;0,0;269;-0;27;100;*3F
$D;0199,00;37,3;;7600;11,2;3,7;996;;;;161;0,2;0,0;272;-0;19;100;*A6
$D;0200,00;36,7;;7600;11,2;3,7;996;;;;160;0,2;0,0;279;-0;11;100;*F0
$D;0201,00;33,8;;7600;11,2;3,8;996;;;;158;0,2;0,0;288;-0;11;100;*2F
$D;0202,00;33,9;;7600;11,2;3,8;996;;;;158;0,2;0,0;293;-0;-4;100;*F5
$D;0203,00;31,0;;7600;11,2;3,8;997;;;;157;0,2;0,0;301;-0;-9;100;*71
$D;0204,00;31,4;;7600;11,3;3,8;997;;;;155;0,2;0,0;306;-0;-9;100;*D4
$D;0205,00;36,8;;7600;11,3;3,8;997;;;;154;0,2;0,0;314;-0;-12;100;*6A
$D;0206,00;39,1;;7600;11,3;3,8;997;;;;152;0,2;0,0;323;-0;-12;100;*E6
