$SETUP1;Time;;;;;;;;;;;;;;;;;
$SETUP2;sec;;;;;;;;;;;;;;;;;
$D;198,13;;;;;;0,0;;;;;;;;;;0,3;
$D;198,24;;;;;;;87,0;;;;;;;;;0,3;
$D;198,36;;;;;;;;-15,0;;;;;;;;0,4;
$D;198,44;;;;;;;;-12,0;;;;;;;;0,4;
$D;198,55;;;;;;;;-12,0;;;;;;;;0,4;
$D;198,66;;;;;;;;-12,0;;;;;;;;0,4;
$D;198,78;;;;;;;;-12,0;;;;;;;;0,4;
$D;198,87;5,0;;;;;;;;;;;;;;;0,4;
$D;198,98;5,0;;;;;;;;;;;;;;;0,3;
$D;199,08;;;12,1;;;;;;;;;;;;;0,3;
$D;199,19;;;;77,9;;;;;;;;;;;;0,4;
$D;199,31;;;;;0,1;;;;;;;;;;;0,4;
$D;199,39;;;;;;0,0;;;;;;;;;;0,4;
$D;199,50;;;;;;;88,0;;;;;;;;;0,4;
$D;199,56;;;;;;;;-12,0;;;;;;;;0,4;
$D;199,67;;;;;;;;;322,0;;;;;;;0,5;
$D;199,78;;;;;;;;;;0,0;;;;;;0,5;
$D;199,90;;;;;;;;;;;48,9;;;;;0,5;
$D;199,98;;;;;;;;;;;;92,6;;;;0,5;
$D;200,10;5,0;;;;;;;;;;;;;;;0,5;
$D;200,21;5,0;;;;;;;;;;;;;;;0,6;
$D;200,30;;;12,1;;;;;;;;;;;;;0,6;
$D;200,41;;;;77,9;;;;;;;;;;;;0,6;
$D;200,52;;;;;0,2;;;;;;;;;;;0,6;
$SETUP1;Time;Empfängerspannung;Empfangsqualität;Gesamtspannung;Restkapazität;Stromaufnahme;Drehzahl;Höhe;Höhengewinn;Entfernung;Flugstrecke;Geschwindigkeit;Max;;;;Vario;
$SETUP2;sec;Sys:Volt;Sys:% LQI;Sys:Volt;Lipo % (2200mAh);Sys:Ampere;Sys:1/min;Sys:Meter;Sys:Meter;Sys:Meter;Sys:Kilometer;Sys:km/h;Sys:km/h;;;;Sys:m/s;
$D;200,71;;;;;;0,0;;;;;;;;;;0,6;
$D;200,72;;;;;;;88,0;;;;;;;;;0,6;
$D;200,83;;;;;;;;-9,0;;;;;;;;0,6;
$D;200,94;;;;;;;;;298,0;;;;;;;0,5;
$D;201,06;;;;;;;;;;0,0;;;;;;0,5;
$D;201,14;;;;;;;;;;;42,6;;;;;0,6;
$D;201,20;;;;;;;;;;;;92,6;;;;0,6;
$D;201,32;5,0;;;;;;;;;;;;;;;0,7;
$D;201,43;;100,0;;;;;;;;;;;;;;0,7;
$D;201,54;;;12,1;;;;;;;;;;;;;0,8;
$D;201,63;;;12,1;;;;;;;;;;;;;0,9;
$D;201,74;;;;;0,1;;;;;;;;;;;0,9;
$D;201,86;;;;;;0,0;;;;;;;;;;1,1;
$D;201,95;;;;;;;89,0;;;;;;;;;1,2;
$D;202,06;;;;;;;;-4,0;;;;;;;;1,3;
$D;202,15;;;;;;;;;283,0;;;;;;;1,4;
$D;202,26;;;;;;;;;272,0;;;;;;;1,6;
$D;202,37;;;;;;;;;;;41,5;;;;;1,6;
$D;202,48;;;;;;;;;;;;92,6;;;;1,8;
$D;202,60;5,0;;;;;;;;;;;;;;;2,0;
$D;202,69;4,9;;;;;;;;;;;;;;;2,1;
$D;202,80;;;12,1;;;;;;;;;;;;;2,1;
$D;202,86;;;;77,9;;;;;;;;;;;;2,3;
$D;202,97;;;;;0,1;;;;;;;;;;;2,4;
$D;203,09;;;;;0,3;;;;;;;;;;;2,5;
$D;203,17;;;;;0,3;;;;;;;;;;;2,5;
$D;203,28;;;;;;;;0,0;;;;;;;;2,5;
$D;203,40;;;;;;;;;272,0;;;;;;;2,7;
$D;203,49;;;;;;;;;;0,0;;;;;;2,7;
$SETUP1;Time;Empfängerspannung;Empfangsqualität;Gesamtspannung;Restkapazität;Stromaufnahme;Drehzahl;Höhe;Höhengewinn;Entfernung;Flugstrecke;Geschwindigkeit;Max;;;;Vario;
$SETUP2;sec;Sys:Volt;Sys:% LQI;Sys:Volt;Lipo % (2200mAh);Sys:Ampere;Sys:1/min;Sys:Meter;Sys:Meter;Sys:Meter;Sys:Kilometer;Sys:km/h;Sys:km/h;;;;Sys:m/s;
$D;203,73;;;;;;;;;;;29,5;;;;;2,7;
$D;203,73;;;;;;;;;;;;92,6;;;;2,7;
$D;203,81;4,9;;;;;;;;;;;;;;;2,6;
$D;203,92;;100,0;;;;;;;;;;;;;;2,6;
$D;204,03;;;12,1;;;;;;;;;;;;;2,5;
$D;204,14;;;;77,9;;;;;;;;;;;;2,5;
$D;204,23;;;;;0,3;;;;;;;;;;;2,5;
$D;204,34;;;;;;0,0;;;;;;;;;;2,4;
$D;204,45;;;;;;;90,0;;;;;;;;;2,3;
$D;204,51;;;;;;;;4,0;;;;;;;;2,2;
$D;204,62;;;;;;;;;264,0;;;;;;;2,1;
$D;204,73;;;;;;;;;;0,0;;;;;;2,1;
$D;204,82;;;;;;;;;;;29,5;;;;;2,1;
$D;204,93;;;;;;;;;;;;92,6;;;;1,9;
$D;205,05;5,0;;;;;;;;;;;;;;;1,8;
$D;205,13;;100,0;;;;;;;;;;;;;;1,7;
$D;205,25;;;12,1;;;;;;;;;;;;;1,7;
$D;205,36;;;;77,9;;;;;;;;;;;;1,4;
$D;205,47;;;;;0,1;;;;;;;;;;;1,3;
$D;205,56;;;;;;0,0;;;;;;;;;;1,1;
$D;205,67;;;;;;;97,0;;;;;;;;;0,9;
$D;205,76;;;;;;;;7,0;;;;;;;;0,8;
$D;205,87;;;;;;;;;257,0;;;;;;;0,6;
$D;205,98;;;;;;;;;;0,0;;;;;;0,4;
$D;206,09;;;;;;;;;;;23,1;;;;;0,2;
$D;206,15;;;;;;;;;;;;92,6;;;;0,0;
$D;206,26;5,0;;;;;;;;;;;;;;;-0,2;
$SETUP1;Time;Empfängerspannung;Empfangsqualität;Gesamtspannung;Restkapazität;Stromaufnahme;Drehzahl;Höhe;Höhengewinn;Entfernung;Flugstrecke;Geschwindigkeit;Max;;;;Vario;
$SETUP2;sec;Sys:Volt;Sys:% LQI;Sys:Volt;Lipo % (2200mAh);Sys:Ampere;Sys:1/min;Sys:Meter;Sys:Meter;Sys:Meter;Sys:Kilometer;Sys:km/h;Sys:km/h;;;;Sys:m/s;
$D;206,46;;100,0;;;;;;;;;;;;;;-0,3;
$D;206,47;;;12,1;;;;;;;;;;;;;-0,3;
$D;206,58;;;;77,9;;;;;;;;;;;;-0,4;
$D;206,69;;;;;0,1;;;;;;;;;;;-0,6;
$D;206,78;;;;;;0,0;;;;;;;;;;-0,7;
$D;206,89;;;;;;;98,0;;;;;;;;;-0,8;
$D;207,00;;;;;;;;10,0;;;;;;;;-0,8;
$D;207,12;;;;;;;;;252,0;;;;;;;-0,9;
$D;207,21;;;;;;;;;;0,0;;;;;;-1,0;
$D;207,32;;;;;;;;;;;20,1;;;;;-1,1;
$D;207,42;;;;;;;;;;;;92,6;;;;-1,1;
$D;207,53;4,9;;;;;;;;;;;;;;;-1,2;
$D;207,62;;100,0;;;;;;;;;;;;;;-1,2;
$D;207,73;;;12,1;;;;;;;;;;;;;-1,2;
$D;207,79;;;;77,9;;;;;;;;;;;;-1,3;
$D;207,90;;;;;0,2;;;;;;;;;;;-1,4;
$D;208,01;;;;;;0,0;;;;;;;;;;-1,4;
$D;208,12;;;;;;;97,0;;;;;;;;;-1,5;
$D;208,24;;;;;;;95,0;;;;;;;;;-1,5;
$D;208,33;;;;;;;;;245,0;;;;;;;-1,5;
$D;208,45;;;;;;;;;;0,0;;;;;;-1,5;
$D;208,53;;;;;;;;;;0,0;;;;;;-1,5;
$D;208,64;;;;;;;;;;;;92,6;;;;-1,5;
$D;208,75;;;;;;;;;;;;92,6;;;;-1,7;
$D;208,87;;;;;;;;;;;;92,6;;;;-1,7;
$D;208,96;;;;;;;;;;;;92,6;;;;-1,7;
$D;209,07;;;;77,9;;;;;;;;;;;;-1,7;
$D;209,19;;;;77,9;;;;;;;;;;;;-1,9;
$D;209,27;;;;77,9;;;;;;;;;;;;-1,9;
$D;209,38;;;;77,9;;;;;;;;;;;;-1,9;
$D;209,45;;;;;;;;9,0;;;;;;;;-2,2;
$D;209,57;;;;;;;;;238,0;;;;;;;-2,2;
$D;209,65;;;;;;;;;229,0;;;;;;;-2,2;
$D;209,76;;;;;;;;;229,0;;;;;;;-2,2;
$D;209,88;;;;;;;;;;;;92,6;;;;-2,2;
$D;209,97;;;;;;;;;;;;92,6;;;;-2,4;
$D;210,08;;100,0;;;;;;;;;;;;;;-2,4;
$D;210,19;;;12,1;;;;;;;;;;;;;-2,6;
$SETUP1;Time;Empfängerspannung;Empfangsqualität;Gesamtspannung;Restkapazität;Stromaufnahme;Drehzahl;Höhe;Höhengewinn;Entfernung;Flugstrecke;Geschwindigkeit;Max;;;;Vario;
$SETUP2;sec;Sys:Volt;Sys:% LQI;Sys:Volt;Lipo % (2200mAh);Sys:Ampere;Sys:1/min;Sys:Meter;Sys:Meter;Sys:Meter;Sys:Kilometer;Sys:km/h;Sys:km/h;;;;Sys:m/s;
$D;210,35;;;;77,9;;;;;;;;;;;;-2,7;
$D;210,41;;;;;0,2;;;;;;;;;;;-2,7;
$D;210,50;;;;;;0,0;;;;;;;;;;-2,7;
$D;210,61;;;;;;;95,0;;;;;;;;;-2,8;
$D;210,72;;;;;;;;5,0;;;;;;;;-2,8;
$D;210,83;;;;;;;;;229,0;;;;;;;-2,8;
$D;210,92;;;;;;;;;;0,0;;;;;;-2,8;
$D;211,03;;;;;;;;;;;24,7;;;;;-2,8;
$D;211,09;;;;;;;;;;;;92,6;;;;-2,8;
$D;211,20;5,0;;;;;;;;;;;;;;;-2,8;
$D;211,32;;100,0;;;;;;;;;;;;;;-2,8;
$D;211,41;;;12,1;;;;;;;;;;;;;-2,8;
$D;211,52;;;;77,9;;;;;;;;;;;;-2,7;
$D;211,64;;;;77,8;;;;;;;;;;;;-2,6;
$D;211,72;;;;;;0,0;;;;;;;;;;-2,6;
$D;211,83;;;;;;;88,0;;;;;;;;;-2,5;
$D;211,94;;;;;;;;2,0;;;;;;;;-2,3;
$D;212,06;;;;;;;;;215,0;;;;;;;-2,2;
$D;212,14;;;;;;;;;;0,0;;;;;;-2,1;
$D;212,25;;;;;;;;;;;43,3;;;;;-2,1;
$D;212,36;;;;;;;;;;;;92,6;;;;-2,1;
$D;212,48;5,0;;;;;;;;;;;;;;;-1,9;
$D;212,57;;100,0;;;;;;;;;;;;;;-1,8;
$D;212,68;;;12,1;;;;;;;;;;;;;-1,7;
$D;212,74;;;;77,8;;;;;;;;;;;;-1,6;
$D;212,85;;;;;0,2;;;;;;;;;;;-1,4;
$D;212,94;;;;;;0,0;;;;;;;;;;-1,4;
$D;213,05;;;;;;;85,0;;;;;;;;;-1,1;
$D;213,17;;;;;;;;-6,0;;;;;;;;-0,9;
$D;213,28;;;;;;;;;202,0;;;;;;;-0,7;
$D;213,38;;;;;;;;;;0,0;;;;;;-0,6;
$D;213,47;;;;;;;;;;;51,9;;;;;-0,4;
$D;213,58;;;;;;;;;;;;92,6;;;;-0,3;
$D;213,69;5,0;;;;;;;;;;;;;;;-0,1;
$SETUP1;Time;Empfängerspannung;Empfangsqualität;Gesamtspannung;Restkapazität;Stromaufnahme;Drehzahl;Höhe;Höhengewinn;Entfernung;Flugstrecke;Geschwindigkeit;Max;;;;Vario;
$SETUP2;sec;Sys:Volt;Sys:% LQI;Sys:Volt;Lipo % (2200mAh);Sys:Ampere;Sys:1/min;Sys:Meter;Sys:Meter;Sys:Meter;Sys:Kilometer;Sys:km/h;Sys:km/h;;;;Sys:m/s;
$D;213,84;;100,0;;;;;;;;;;;;;;0,2;
$D;213,92;;100,0;;;;;;;;;;;;;;0,2;
$D;214,00;;;;77,8;;;;;;;;;;;;0,2;
$D;214,11;;;;;0,1;;;;;;;;;;;0,3;
$D;214,22;;;;;;0,0;;;;;;;;;;0,4;
$D;214,34;;;;;;0,0;;;;;;;;;;0,5;
$D;214,38;;;;;;;;-11,0;;;;;;;;0,5;
$D;214,50;;;;;;;;;193,0;;;;;;;0,7;
$D;214,61;;;;;;;;;;0,0;;;;;;0,7;
$D;214,70;;;;;;;;;;;53,8;;;;;0,8;
$D;214,81;;;;;;;;;;;;92,6;;;;0,8;
$D;214,92;5,0;;;;;;;;;;;;;;;0,9;
$D;215,03;;100,0;;;;;;;;;;;;;;0,9;
$D;215,13;;;12,1;;;;;;;;;;;;;0,9;
$D;215,24;;;;77,8;;;;;;;;;;;;0,9;
$D;215,35;;;;;0,1;;;;;;;;;;;0,9;
$D;215,44;;;;;;0,0;;;;;;;;;;1,0;
$D;215,55;;;;;;0,0;;;;;;;;;;1,0;
$D;215,66;;;;;;;;-12,0;;;;;;;;1,0;
$D;215,78;;;;;;;;;191,0;;;;;;;1,1;
$D;215,86;;;;;;;;;;0,0;;;;;;1,1;
$D;215,97;;;;;;;;;;;49,4;;;;;1,0;
$D;216,05;;;;;;;;;;;;92,6;;;;1,1;
$D;216,15;;;;;;;;;;;;92,6;;;;1,1;
$D;216,24;;100,0;;;;;;;;;;;;;;1,1;
$D;216,35;;100,0;;;;;;;;;;;;;;1,1;
$D;216,46;;;;77,8;;;;;;;;;;;;1,1;
$D;216,57;;;;;0,3;;;;;;;;;;;1,1;
$D;216,68;;;;;;0,0;;;;;;;;;;1,1;
$D;216,77;;;;;;0,0;;;;;;;;;;1,2;
$D;216,88;;;;;;;;-12,0;;;;;;;;1,2;
$D;217,00;;;;;;;;-7,0;;;;;;;;1,1;
$D;217,08;;;;;;;;;;0,0;;;;;;1,1;
$D;217,19;;;;;;;;;;;42,6;;;;;1,0;
$D;217,31;;;;;;;;;;;;92,6;;;;1,0;
$D;217,42;5,0;;;;;;;;;;;;;;;0,9;
$D;217,51;;100,0;;;;;;;;;;;;;;0,9;
$D;217,64;;;12,1;;;;;;;;;;;;;0,8;
$D;217,67;;;;77,8;;;;;;;;;;;;0,8;
$D;217,78;;;;;0,3;;;;;;;;;;;0,7;
$D;217,89;;;;;;0,0;;;;;;;;;;0,7;
$D;218,00;;;;;;;84,0;;;;;;;;;0,7;
$D;218,12;;;;;;;;-7,0;;;;;;;;0,7;
$D;218,20;;;;;;;;-4,0;;;;;;;;0,6;
$D;218,31;;;;;;;;;;0,0;;;;;;0,6;
$D;218,42;;;;;;;;;;;34,0;;;;;0,5;
$D;218,54;;;;;;;;;;;;92,6;;;;0,4;
$D;218,62;5,0;;;;;;;;;;;;;;;0,4;
$D;218,73;;100,0;;;;;;;;;;;;;;0,4;
$D;218,84;;;12,1;;;;;;;;;;;;;0,3;
$D;218,95;;;;77,8;;;;;;;;;;;;0,3;
$D;219,07;;;;;0,3;;;;;;;;;;;0,3;
$D;219,16;;;;;;0,0;;;;;;;;;;0,3;
$D;219,28;;;;;;;89,0;;;;;;;;;0,3;
$D;219,35;;;;;;;;-2,0;;;;;;;;0,3;
$D;219,43;;;;;;;;;193,0;;;;;;;0,3;
$D;219,54;;;;;;;;;;0,0;;;;;;0,3;
$D;219,66;;;;;;;;;;;33,4;;;;;0,2;
$D;219,76;;;;;;;;;;;;92,6;;;;0,2;
$D;219,85;5,0;;;;;;;;;;;;;;;0,2;
$D;219,96;;100,0;;;;;;;;;;;;;;0,2;
$D;220,07;;;12,1;;;;;;;;;;;;;0,1;
$D;220,19;;;;77,8;;;;;;;;;;;;0,1;
$D;220,27;;;;;0,2;;;;;;;;;;;0,0;
$D;220,38;;;;;;0,0;;;;;;;;;;0,0;
$D;220,49;;;;;;;89,0;;;;;;;;;0,0;
$D;220,61;;;;;;;;-2,0;;;;;;;;-0,1;
$D;220,70;;;;;;;;;197,0;;;;;;;-0,1;
$D;220,81;;;;;;;;;;0,0;;;;;;-0,1;
$D;220,93;;;;;;;;;;;37,0;;;;;-0,2;
$D;220,96;;;;;;;;;;;41,3;;;;;-0,2;
$D;221,07;5,0;;;;;;;;;;;;;;;-0,2;
$D;221,18;;100,0;;;;;;;;;;;;;;-0,3;
$D;221,29;;;12,1;;;;;;;;;;;;;-0,4;
$D;221,41;;;;77,8;;;;;;;;;;;;-0,5;
$D;221,50;;;;;0,2;;;;;;;;;;;-0,5;
$D;221,61;;;;;;0,0;;;;;;;;;;-0,6;
$D;221,73;;;;;;;89,0;;;;;;;;;-0,7;
$D;221,81;;;;;;;;1,0;;;;;;;;-0,8;
$D;221,92;;;;;;;;;200,0;;;;;;;-0,9;
$D;222,04;;;;;;;;;;0,0;;;;;;-1,0;
$D;222,12;;;;;;;;;;;41,3;;;;;-1,0;
$D;222,24;;;;;;;;;;;;92,6;;;;-1,0;
$D;222,35;5,0;;;;;;;;;;;;;;;-1,1;
$D;222,47;;100,0;;;;;;;;;;;;;;-1,2;
$D;222,55;;;12,1;;;;;;;;;;;;;-1,3;
$D;222,61;;;;77,8;;;;;;;;;;;;-1,3;
$D;222,72;;;;;0,1;;;;;;;;;;;-1,4;
$D;222,83;;;;;;0,0;;;;;;;;;;-1,4;
$D;222,94;;;;;;;88,0;;;;;;;;;-1,4;
$D;223,06;;;;;;;;3,0;;;;;;;;-1,4;
$D;223,14;;;;;;;;1,0;;;;;;;;-1,5;
$D;223,26;;;;;;;;;;0,0;;;;;;-1,5;
$D;223,38;;;;;;;;;;;45,0;;;;;-1,5;
$D;223,48;;;;;;;;;;;;92,6;;;;-1,5;
$D;223,57;5,0;;;;;;;;;;;;;;;-1,4;
$D;223,69;;100,0;;;;;;;;;;;;;;-1,4;
$D;223,78;;100,0;;;;;;;;;;;;;;-1,4;
$D;223,89;;;;77,8;;;;;;;;;;;;-1,4;
$D;224,01;;;;;0,1;;;;;;;;;;;-1,3;
$D;224,10;;;;;0,1;;;;;;;;;;;-1,3;
$D;224,21;;;;;;;86,0;;;;;;;;;-1,3;
$D;224,27;;;;;;;;1,0;;;;;;;;-1,4;
$D;224,39;;;;;;;;;202,0;;;;;;;-1,4;
$D;224,47;;;;;;;;;;0,0;;;;;;-1,4;
$D;224,58;;;;;;;;;;;45,0;;;;;-1,4;
$D;224,69;;;;;;;;;;;;92,6;;;;-1,4;
$D;224,80;;;;;;;;;;;;92,6;;;;-1,4;
$D;224,92;;100,0;;;;;;;;;;;;;;-1,4;
$D;225,00;;;12,1;;;;;;;;;;;;;-1,4;
$D;225,11;;;;77,8;;;;;;;;;;;;-1,4;
$D;225,22;;;;;0,1;;;;;;;;;;;-1,5;
$D;225,31;;;;;;0,0;;;;;;;;;;-1,5;
$D;225,42;;;;;;;85,0;;;;;;;;;-1,5;
$D;225,53;;;;;;;;0,0;;;;;;;;-1,6;
$D;225,64;;;;;;;;;203,0;;;;;;;-1,6;
$D;225,76;;;;;;;;;202,0;;;;;;;-1,5;
$D;225,85;;;;;;;;;;;44,8;;;;;-1,5;
$D;225,91;;;;;;;;;;;;92,6;;;;-1,4;
$D;226,02;5,0;;;;;;;;;;;;;;;-1,3;
$D;226,12;;100,0;;;;;;;;;;;;;;-1,2;
$D;226,25;;;12,1;;;;;;;;;;;;;-1,2;
$D;226,33;;;;77,8;;;;;;;;;;;;-1,2;
$D;226,44;;;;77,8;;;;;;;;;;;;-1,1;
$D;226,56;;;;;;0,0;;;;;;;;;;-1,1;
$D;226,65;;;;;;0,0;;;;;;;;;;-0,9;
$D;226,76;;;;;;;;-3,0;;;;;;;;-0,9;
$D;226,86;;;;;;;;;202,0;;;;;;;-0,9;
$D;226,97;;;;;;;;;;0,0;;;;;;-0,8;
$D;227,08;;;;;;;;;;;43,1;;;;;-0,6;
$D;227,19;;;;;;;;;;;;92,6;;;;-0,5;
$D;227,30;5,0;;;;;;;;;;;;;;;-0,4;
$D;227,39;;100,0;;;;;;;;;;;;;;-0,3;
$D;227,50;;;12,1;;;;;;;;;;;;;-0,2;
$D;227,56;;;;77,8;;;;;;;;;;;;-0,1;
$D;227,67;;;;;0,1;;;;;;;;;;;0,0;
$D;227,79;;;;;;0,0;;;;;;;;;;0,0;
$D;227,87;;;;;;;83,0;;;;;;;;;0,0;
$D;227,98;;;;;;;;-7,0;;;;;;;;0,1;
$D;228,09;;;;;;;;;202,0;;;;;;;0,2;
$D;228,20;;;;;;;;;;0,0;;;;;;0,3;
$D;228,29;;;;;;;;;;;38,6;;;;;0,4;
$D;228,40;;;;;;;;;;;;92,6;;;;0,5;
$D;228,52;5,0;;;;;;;;;;;;;;;0,6;
$D;228,63;;100,0;;;;;;;;;;;;;;0,7;
$D;228,72;;;12,1;;;;;;;;;;;;;0,7;
$D;228,83;;;;77,8;;;;;;;;;;;;0,7;
$D;228,95;;;;;0,2;;;;;;;;;;;0,7;
$D;229,03;;;;;;0,0;;;;;;;;;;0,8;
$D;229,14;;;;;;;82,0;;;;;;;;;0,8;
$D;229,20;;;;;;;;-7,0;;;;;;;;0,8;
$D;229,31;;;;;;;;;201,0;;;;;;;0,8;
$D;229,42;;;;;;;;;;0,0;;;;;;0,8;
$D;229,54;;;;;;;;;;;34,7;;;;;0,8;
$D;229,62;;;;;;;;;;;;92,6;;;;0,8;
$D;229,73;4,9;;;;;;;;;;;;;;;0,8;
$D;229,84;;100,0;;;;;;;;;;;;;;0,8;
$D;229,97;;;12,1;;;;;;;;;;;;;0,8;
$D;230,06;;;;77,8;;;;;;;;;;;;0,8;
$D;230,18;;;;;0,1;;;;;;;;;;;0,8;
$D;230,26;;;;;;0,0;;;;;;;;;;0,8;
$D;230,37;;;;;;;83,0;;;;;;;;;0,8;
$D;230,49;;;;;;;;-6,0;;;;;;;;0,9;
$D;230,58;;;;;;;;-5,0;;;;;;;;0,8;
$D;230,68;;;;;;;;;;0,0;;;;;;0,8;
$D;230,80;;;;;;;;;;;29,3;;;;;0,9;
$D;230,86;;;;;;;;;;;;92,6;;;;0,9;
$D;230,95;5,0;;;;;;;;;;;;;;;0,8;
$D;231,06;;100,0;;;;;;;;;;;;;;0,8;
$D;231,17;;;12,1;;;;;;;;;;;;;0,7;
$D;231,28;;;;77,8;;;;;;;;;;;;0,7;
$D;231,40;;;;;0,1;;;;;;;;;;;0,6;
$D;231,49;;;;;;0,0;;;;;;;;;;0,5;
$D;231,59;;;;;;;84,0;;;;;;;;;0,5;
$D;231,70;;;;;;;;-5,0;;;;;;;;0,4;
$D;231,81;;;;;;;;;201,0;;;;;;;0,3;
$D;231,93;;;;;;;;;;0,0;;;;;;0,2;
$D;232,02;;;;;;;;;;;22,3;;;;;0,1;
$D;232,12;;;;;;;;;;;;92,6;;;;0,1;
$D;232,23;5,0;;;;;;;;;;;;;;;0,0;
$D;232,35;;100,0;;;;;;;;;;;;;;0,0;
$D;232,43;;;12,1;;;;;;;;;;;;;0,0;
$D;232,49;;;;77,8;;;;;;;;;;;;-0,3;
$D;232,61;;;;;0,3;;;;;;;;;;;-0,4;
$D;232,73;;;;;;0,0;;;;;;;;;;-0,4;
$D;232,81;;;;;;0,0;;;;;;;;;;-0,5;
$D;232,92;;;;;;;;-3,0;;;;;;;;-0,5;
$D;233,04;;;;;;;;;195,0;;;;;;;-0,9;
$D;233,13;;;;;;;;;;0,0;;;;;;-1,2;
$D;233,24;;;;;;;;;;;25,6;;;;;-1,2;
$D;233,35;;;;;;;;;;;;92,6;;;;-1,3;
$D;233,47;5,0;;;;;;;;;;;;;;;-1,4;
$D;233,55;;100,0;;;;;;;;;;;;;;-1,5;
$D;233,66;;;12,1;;;;;;;;;;;;;-1,6;
$D;233,77;;;;77,8;;;;;;;;;;;;-1,6;
$D;233,87;;;;;0,2;;;;;;;;;;;-1,6;
$D;233,98;;;;;;0,0;;;;;;;;;;-1,6;
$D;234,09;;;;;;;85,0;;;;;;;;;-1,5;
$D;234,15;;;;;;;;-1,0;;;;;;;;-1,4;
$D;234,26;;;;;;;;;187,0;;;;;;;-1,3;
$D;234,37;;;;;;;;;;0,0;;;;;;-1,2;
$D;234,46;;;;;;;;;;;34,2;;;;;-1,2;
$D;234,58;;;;;;;;;;;;92,6;;;;-1,1;
$D;234,69;5,0;;;;;;;;;;;;;;;-0,9;
$D;234,78;;100,0;;;;;;;;;;;;;;-0,8;
$D;234,89;;;12,1;;;;;;;;;;;;;-0,7;
$D;235,00;;;;77,8;;;;;;;;;;;;-0,6;
$D;235,10;;;;;0,1;;;;;;;;;;;-0,5;
$D;235,21;;;;;;0,0;;;;;;;;;;-0,4;
$D;235,30;;;;;;;82,0;;;;;;;;;-0,4;
$D;235,41;;;;;;;;-1,0;;;;;;;;-0,3;
$D;235,52;;;;;;;;;178,0;;;;;;;-0,2;
$D;235,63;;;;;;;;;;0,0;;;;;;-0,1;
$D;235,72;;;;;;;;;;;38,8;;;;;0,0;
$D;235,78;;;;;;;;;;;;92,6;;;;0,0;
$D;235,89;5,0;;;;;;;;;;;;;;;0,1;
$D;236,00;;100,0;;;;;;;;;;;;;;0,1;
$D;236,12;;;12,1;;;;;;;;;;;;;0,2;
$D;236,21;;;;77,8;;;;;;;;;;;;0,3;
$D;236,32;;;;;0,2;;;;;;;;;;;0,4;
$D;236,43;;;;;;0,0;;;;;;;;;;0,4;
$D;236,54;;;;;;;81,0;;;;;;;;;0,5;
$D;236,66;;;;;;;;0,0;;;;;;;;0,7;
$D;236,74;;;;;;;;;172,0;;;;;;;0,7;
$D;236,85;;;;;;;;;;0,0;;;;;;0,8;
$D;236,96;;;;;;;;;;;35,7;;;;;0,9;
$D;237,08;;;;;;;;;;;;92,6;;;;1,0;
$D;237,16;5,0;;;;;;;;;;;;;;;1,1;
$D;237,27;;100,0;;;;;;;;;;;;;;1,2;
$D;237,38;;;12,1;;;;;;;;;;;;;1,2;
$D;237,45;;;;77,8;;;;;;;;;;;;1,4;
$D;237,55;;;;;0,1;;;;;;;;;;;1,4;
$D;237,66;;;;;;0,0;;;;;;;;;;1,4;
$D;237,77;;;;;;;82,0;;;;;;;;;1,5;
$D;237,86;;;;;;;;0,0;;;;;;;;1,5;
$D;237,97;;;;;;;;;168,0;;;;;;;1,5;
$D;238,09;;;;;;;;;;0,0;;;;;;1,5;
$D;238,18;;;;;;;;;;;29,5;;;;;1,6;
$D;238,29;;;;;;;;;;;;92,6;;;;1,6;
$D;238,41;5,0;;;;;;;;;;;;;;;1,6;
$D;238,49;;100,0;;;;;;;;;;;;;;1,5;
$D;238,60;;;12,1;;;;;;;;;;;;;1,5;
$D;238,71;;;;77,8;;;;;;;;;;;;1,4;
$D;238,83;;;;;0,2;;;;;;;;;;;1,4;
$D;238,91;;;;;;0,0;;;;;;;;;;1,4;
$D;239,02;;;;;;;84,0;;;;;;;;;1,3;
$D;239,08;;;;;;;;1,0;;;;;;;;1,3;
$D;239,20;;;;;;;;;169,0;;;;;;;1,2;
$D;239,32;;;;;;;;;;0,0;;;;;;1,2;
$D;239,40;;;;;;;;;;;25,5;;;;;1,1;
$D;239,51;;;;;;;;;;;;92,6;;;;1,1;
$D;239,62;5,0;;;;;;;;;;;;;;;1,1;
$D;239,71;;100,0;;;;;;;;;;;;;;1,0;
$D;239,82;;;12,1;;;;;;;;;;;;;1,0;
$D;239,93;;;;77,8;;;;;;;;;;;;0,9;
$D;240,04;;;;;0,2;;;;;;;;;;;0,8;
$D;240,14;;;;;;0,0;;;;;;;;;;0,6;
$D;240,25;;;;;;;86,0;;;;;;;;;0,6;
$D;240,36;;;;;;;;2,0;;;;;;;;0,5;
$D;240,47;;;;;;;;;172,0;;;;;;;0,4;
$D;240,56;;;;;;;;;;0,0;;;;;;0,4;
$D;240,67;;;;;;;;;;;21,4;;;;;0,3;
$D;240,74;;;;;;;;;;;;92,6;;;;0,2;
$D;240,85;5,0;;;;;;;;;;;;;;;0,2;
$D;240,96;;100,0;;;;;;;;;;;;;;0,2;
$D;241,05;;;12,1;;;;;;;;;;;;;0,1;
$D;241,16;;;;77,8;;;;;;;;;;;;0,0;
