$SETUP1;Time;;;;;;;;;;;;;;;;;
$SETUP2;sec;;;;;;;;;;;;;;;;;
$D;9,60;;;;;;;;;;0,0;;;;;;-0,1;
$D;9,71;;;;;;;;;;;1,3;;;;;-0,1;
$D;9,83;;;;;;;;;;;;1,0;;;;-0,1;
$D;9,92;5,0;;;;;;;;;;;;;;;-0,1;
$D;10,04;;100,0;;;;;;;;;;;;;;-0,1;
$D;10,15;;;12,4;;;;;;;;;;;;;-0,2;
$D;10,21;;;;98,0;;;;;;;;;;;;-0,2;
$D;10,30;;;;;0,1;;;;;;;;;;;-0,2;
$D;10,40;;;;;;0,0;;;;;;;;;;-0,2;
$D;10,51;;;;;;;0,0;;;;;;;;;-0,2;
$D;10,60;;;;;;;;0,0;;;;;;;;-0,2;
$D;10,72;;;;;;;;;2,0;;;;;;;-0,2;
$D;10,83;;;;;;;;;;0,0;;;;;;-0,2;
$D;10,92;;;;;;;;;;0,0;;;;;;-0,2;
$D;11,04;;;;;;;;;;;;1,4;;;;-0,2;
$D;11,15;5,0;;;;;;;;;;;;;;;-0,2;
$D;11,24;;100,0;;;;;;;;;;;;;;-0,2;
$D;11,35;;;12,4;;;;;;;;;;;;;-0,1;
$D;11,46;;;;98,0;;;;;;;;;;;;-0,1;
$D;11,57;;;;;0,1;;;;;;;;;;;-0,1;
$D;11,68;;;;;;0,0;;;;;;;;;;0,0;
$D;11,77;;;;;;;0,0;;;;;;;;;0,0;
$D;11,83;;;;;;;;0,0;;;;;;;;0,0;
$D;11,96;;;;;;;;;2,0;;;;;;;0,0;
$D;12,05;;;;;;;;;;0,0;;;;;;0,0;
$D;12,17;;;;;;;;;;;0,8;;;;;0,0;
$D;12,25;;;;;;;;;;;;1,4;;;;0,0;
$D;12,36;5,0;;;;;;;;;;;;;;;0,0;
$D;12,47;;100,0;;;;;;;;;;;;;;0,0;
$D;12,57;;;12,4;;;;;;;;;;;;;0,0;
$D;12,67;;;;98,0;;;;;;;;;;;;0,0;
$D;12,78;;;;;0,1;;;;;;;;;;;0,0;
$D;12,89;;;;;;0,0;;;;;;;;;;0,0;
$D;13,00;;;;;;;0,0;;;;;;;;;0,0;
$D;13,10;;;;;;;;0,0;;;;;;;;0,0;
$D;13,22;;;;;;;;;2,0;;;;;;;0,0;
$D;13,32;;;;;;;;;;0,0;;;;;;0,0;
$D;13,45;;;;;;;;;;;0,1;;;;;0,0;
$D;13,48;;;;;;;;;;;;1,4;;;;0,0;
$D;13,59;5,0;;;;;;;;;;;;;;;0,0;
$D;13,70;;100,0;;;;;;;;;;;;;;0,0;
$D;13,79;;;12,4;;;;;;;;;;;;;0,0;
$D;13,90;;;;98,0;;;;;;;;;;;;0,0;
$D;14,01;;;;;0,1;;;;;;;;;;;0,0;
$D;14,13;;;;;;0,0;;;;;;;;;;0,0;
$D;14,22;;;;;;;0,0;;;;;;;;;0,0;
$D;14,33;;;;;;;;0,0;;;;;;;;0,0;
$D;14,45;;;;;;;;;2,0;;;;;;;0,0;
$D;14,54;;;;;;;;;;0,0;;;;;;0,0;
$D;14,66;;;;;;;;;;;0,7;;;;;0,0;
$D;14,76;;;;;;;;;;;;1,4;;;;0,0;
$D;14,85;5,0;;;;;;;;;;;;;;;0,0;
$D;14,96;;100,0;;;;;;;;;;;;;;0,0;
$D;15,08;;;12,4;;;;;;;;;;;;;0,0;
$D;15,16;;;;98,0;;;;;;;;;;;;-0,1;
$D;15,23;;;;;0,1;;;;;;;;;;;-0,1;
$D;15,35;;;;;;0,0;;;;;;;;;;-0,1;
$D;15,47;;;;;;;0,0;;;;;;;;;-0,1;
$D;15,55;;;;;;;;0,0;;;;;;;;-0,1;
$D;15,66;;;;;;;;;2,0;;;;;;;-0,1;
$D;15,77;;;;;;;;;;0,0;;;;;;-0,1;
$D;15,87;;;;;;;;;;;0,4;;;;;-0,1;
$D;15,97;;;;;;;;;;;;1,4;;;;-0,1;
$D;16,08;5,0;;;;;;;;;;;;;;;0,0;
$D;16,20;;100,0;;;;;;;;;;;;;;0,0;
$D;16,29;;;12,4;;;;;;;;;;;;;0,0;
$D;16,40;;;;98,0;;;;;;;;;;;;0,0;
$D;16,52;;;;;0,1;;;;;;;;;;;0,0;
$D;16,60;;;;;;0,0;;;;;;;;;;0,0;
$D;16,71;;;;;;;-1,0;;;;;;;;;0,0;
$D;16,77;;;;;;;;0,0;;;;;;;;0,0;
$D;16,88;;;;;;;;;2,0;;;;;;;0,0;
$D;17,00;;;;;;;;;;0,0;;;;;;0,0;
$D;17,10;;;;;;;;;;;0,5;;;;;0,0;
$D;17,21;;;;;;;;;;;;1,4;;;;0,0;
$D;17,30;5,0;;;;;;;;;;;;;;;0,0;
$D;17,43;;100,0;;;;;;;;;;;;;;0,0;
$D;17,52;;;12,4;;;;;;;;;;;;;0,0;
$D;17,62;;;;98,0;;;;;;;;;;;;0,0;
$D;17,73;;;;;0,1;;;;;;;;;;;0,0;
$D;17,83;;;;;;0,0;;;;;;;;;;0,0;
$D;17,93;;;;;;;-1,0;;;;;;;;;0,0;
$D;18,05;;;;;;;;0,0;;;;;;;;0,0;
$D;18,15;;;;;;;;;2,0;;;;;;;0,0;
$D;18,25;;;;;;;;;;0,0;;;;;;0,0;
$D;18,37;;;;;;;;;;;0,0;;;;;0,0;
$D;18,43;;;;;;;;;;;;1,4;;;;0,0;
$D;18,55;5,0;;;;;;;;;;;;;;;0,0;
$D;18,64;;100,0;;;;;;;;;;;;;;0,0;
$D;18,76;;;12,4;;;;;;;;;;;;;0,0;
$D;18,85;;;;98,0;;;;;;;;;;;;0,0;
$D;18,95;;;;;0,1;;;;;;;;;;;0,1;
$D;19,06;;;;;;0,0;;;;;;;;;;0,1;
$D;19,15;;;;;;;-1,0;;;;;;;;;0,1;
$D;19,28;;;;;;;;0,0;;;;;;;;0,0;
$D;19,38;;;;;;;;;2,0;;;;;;;0,0;
$D;19,49;;;;;;;;;;0,0;;;;;;0,0;
$D;19,67;;;;;;;;;;;1,0;;;;;0,0;
$D;19,69;;;;;;;;;;;;1,4;;;;0,0;
