Zeit [s];RSSI [dB];Spannung [V];Strom [A];Leistung [W];Kapazitaet [Ah];Energie [Wh];Temp. Tmp. [*C]
#Version 2.04beta-19
#0.0:Modellname:PROTOS__ Akku:6S 2.65Ah TXE Version 3.5 Anzahl Fluege:35 Betriebsstunden:13:16:08 US-T V1.00
792.7;-9;22.1;0.0;0;2.13;48.25;29
792.9;-8;22.1;0.0;0;2.13;48.25;29
793.1;-9;22.1;0.0;0;2.13;48.25;29
793.3;-9;22.1;0.0;0;2.13;48.25;29
793.6;-10;22.1;0.0;0;2.13;48.25;29
793.8;-11;22.1;0.0;0;2.13;48.25;29
794.1;-13;22.1;0.0;0;2.13;48.25;29
794.3;-16;22.1;0.0;0;2.13;48.25;29
794.5;-15;22.1;0.0;0;2.13;48.25;29
794.7;-16;22.1;0.0;0;2.13;48.25;29
794.9;-15;22.1;0.0;0;2.13;48.25;29
795.2;-16;22.1;0.0;0;2.13;48.25;29
795.4;-16;22.1;0.0;0;2.13;48.25;29
795.6;-16;22.1;0.0;0;2.13;48.25;29
795.8;-16;22.1;0.0;0;2.13;48.25;29
796.0;-15;22.1;0.0;0;2.13;48.25;29
796.2;-16;22.1;0.0;0;2.13;48.25;29
796.4;-16;22.1;0.0;0;2.13;48.25;29
796.6;-15;22.1;0.1;2;2.13;48.25;29
796.8;-17;22.1;0.0;0;2.13;48.25;29
797.0;-16;22.1;0.0;0;2.13;48.25;29
797.2;-15;22.1;0.0;0;2.13;48.25;29
797.4;-14;22.1;0.0;0;2.13;48.25;29
797.6;-15;22.1;0.0;0;2.13;48.25;29
797.8;-14;22.1;0.0;0;2.13;48.25;29
798.0;-15;22.1;0.0;0;2.13;48.25;29
798.2;-15;22.1;0.0;0;2.13;48.25;29
798.4;-14;22.1;0.0;0;2.13;48.25;29
798.8;-15;22.1;0.0;0;2.13;48.25;29
799.0;-15;22.1;0.0;0;2.13;48.25;29
799.2;-14;22.1;0.0;0;2.13;48.25;29
799.4;-15;22.1;0.0;0;2.13;48.25;29
799.6;-14;22.1;0.0;0;2.13;48.25;29
799.8;-15;22.1;0.0;0;2.13;48.25;29
800.0;-14;22.1;0.0;0;2.13;48.25;29
800.2;-16;22.1;0.0;0;2.13;48.25;29
800.4;-14;22.1;0.0;0;2.13;48.25;29
800.6;-15;22.1;0.0;0;2.13;48.25;29
800.8;-14;22.1;0.0;0;2.13;48.25;29
801.0;-15;22.1;0.0;0;2.13;48.25;29
801.2;-16;22.1;0.0;0;2.13;48.25;29
801.4;-15;22.1;0.0;0;2.13;48.25;29
801.6;-15;22.1;0.0;0;2.13;48.25;29
802.0;-15;22.1;0.0;0;2.13;48.25;29
802.2;-15;22.1;0.0;0;2.13;48.25;29
802.4;-15;22.1;0.0;0;2.13;48.25;29
802.6;-16;22.1;0.0;0;2.13;48.25;29
802.8;-17;22.1;0.0;0;2.13;48.25;29
803.0;-17;22.1;0.0;0;2.13;48.25;29
803.2;-9;22.1;0.0;0;2.13;48.25;29
803.6;-6;22.1;0.0;0;2.13;48.25;29
803.8;-6;22.1;0.0;0;2.13;48.25;29
804.0;-6;22.1;0.0;0;2.13;48.25;29
804.2;-7;22.1;0.0;0;2.13;48.25;29
804.4;-7;22.1;0.0;0;2.13;48.25;29
804.6;-8;22.1;0.0;0;2.13;48.25;29
804.8;-7;22.1;0.0;0;2.13;48.25;29
805.0;-8;22.1;0.0;0;2.13;48.25;29
805.2;-8;22.1;0.0;0;2.13;48.25;29
805.4;-7;22.1;0.0;0;2.13;48.25;29
805.6;-6;22.1;0.0;0;2.13;48.25;29
805.8;-8;22.1;0.0;0;2.13;48.25;29
806.0;-15;22.1;0.0;0;2.13;48.25;29
806.2;-9;22.1;0.0;0;2.13;48.25;29
806.4;-6;22.1;0.0;0;2.13;48.25;29
806.7;-8;22.1;0.0;0;2.13;48.25;29
806.9;-9;22.1;0.0;0;2.13;48.25;29
807.1;-10;22.1;0.0;0;2.13;48.25;29
807.3;-17;22.1;0.0;0;2.13;48.25;29
807.5;-13;22.1;0.0;0;2.13;48.25;29
807.7;-15;22.1;0.0;0;2.13;48.25;29
807.9;-19;22.1;0.0;0;2.13;48.25;29
808.1;-15;22.1;0.0;0;2.13;48.25;29
808.3;-14;22.1;0.0;0;2.13;48.25;29
808.5;-14;22.1;0.0;0;2.13;48.25;29
808.7;-13;22.1;0.0;0;2.13;48.25;29
808.9;-13;22.1;0.0;0;2.13;48.25;29
809.1;-12;22.1;0.0;0;2.13;48.25;29
809.3;-15;22.1;0.0;0;2.13;48.25;29
809.5;-20;22.1;0.0;0;2.13;48.25;29
809.7;-16;22.1;0.0;0;2.13;48.25;29
809.9;-13;22.1;0.0;0;2.13;48.25;29
810.1;-9;22.1;0.0;0;2.13;48.25;29
810.3;-7;22.1;0.0;0;2.13;48.25;29
810.5;-10;22.1;0.0;0;2.13;48.25;29
810.7;-12;22.1;0.0;0;2.13;48.25;29
810.9;-9;22.1;0.0;0;2.13;48.25;29
811.1;-7;22.1;0.1;2;2.13;48.25;29
811.3;-10;22.1;0.0;0;2.13;48.25;29
811.5;-11;22.1;0.0;0;2.13;48.25;29
811.7;-10;22.1;0.0;0;2.13;48.25;29
811.9;-12;22.1;0.0;0;2.13;48.25;29
812.1;-13;22.1;0.0;0;2.13;48.25;29
812.3;-12;22.1;0.0;0;2.13;48.25;29
812.5;-13;22.1;0.0;0;2.13;48.25;29
812.7;-15;22.1;0.0;0;2.13;48.25;29
812.9;-15;22.1;0.0;0;2.13;48.25;29
813.1;-14;22.1;0.0;0;2.13;48.25;29
813.3;-17;22.1;0.0;0;2.13;48.25;29
813.7;-17;22.1;0.0;0;2.13;48.25;29
813.9;-17;22.1;0.0;0;2.13;48.25;29
814.1;-15;22.1;0.0;0;2.13;48.25;29
814.3;-16;22.1;0.0;0;2.13;48.25;29
814.5;-16;22.1;0.0;0;2.13;48.25;29
814.7;-15;22.1;0.0;0;2.13;48.25;29
814.9;-17;22.1;0.0;0;2.13;48.25;29
815.1;-15;22.1;0.0;0;2.13;48.25;29
815.3;-14;22.1;0.0;0;2.13;48.25;29
815.5;-14;22.1;0.0;0;2.13;48.25;29
815.7;-17;22.1;0.0;0;2.13;48.25;29
815.9;-17;22.1;0.0;0;2.13;48.25;29
816.1;-16;22.1;0.0;0;2.13;48.25;29
816.3;-17;22.1;0.0;0;2.13;48.25;29
816.5;-14;22.1;0.0;0;2.13;48.25;29
816.9;-12;22.1;0.0;0;2.13;48.25;29
817.1;-13;22.1;0.0;0;2.13;48.25;29
817.3;-14;22.1;0.0;0;2.13;48.25;29
817.7;-12;22.1;0.0;0;2.13;48.25;29
817.9;-13;22.1;0.0;0;2.13;48.25;29
818.1;-13;22.1;0.0;0;2.13;48.25;29
818.3;-12;22.1;0.0;0;2.13;48.25;29
818.5;-13;22.1;0.0;0;2.13;48.25;29
818.7;-13;22.1;0.0;0;2.13;48.25;29
818.9;-12;22.1;0.0;0;2.13;48.25;29
819.1;-13;22.1;0.0;0;2.13;48.25;29
819.3;-13;22.1;0.0;0;2.13;48.25;29
819.5;-13;22.1;0.0;0;2.13;48.25;29
819.7;-13;22.1;0.0;0;2.13;48.25;29
819.9;-13;22.1;0.0;0;2.13;48.25;29
820.1;-12;22.1;0.0;0;2.13;48.25;29
820.3;-12;22.1;0.0;0;2.13;48.25;29
820.5;-13;22.1;0.0;0;2.13;48.25;29
820.7;-13;22.1;0.0;0;2.13;48.25;29
820.9;-12;22.1;0.0;0;2.13;48.25;29
821.1;-12;22.1;0.0;0;2.13;48.25;29
821.3;-12;22.1;0.1;2;2.13;48.25;29
821.5;-14;22.1;0.1;2;2.13;48.25;29
821.7;-19;22.1;0.0;0;2.13;48.25;29
821.9;-17;22.1;0.0;0;2.13;48.25;29
822.1;-15;22.1;0.0;0;2.13;48.25;29
822.3;-15;22.1;0.0;0;2.13;48.25;29
822.5;-14;22.1;0.0;0;2.13;48.25;29
822.7;-14;22.1;0.0;0;2.13;48.25;29
822.9;-14;22.1;0.0;0;2.13;48.25;29
823.1;-16;22.1;0.0;0;2.13;48.25;29
823.3;-15;22.1;0.0;0;2.13;48.25;29
823.5;-19;22.1;0.0;0;2.13;48.25;29
823.7;-22;22.1;0.0;0;2.13;48.25;29
823.9;-20;22.1;0.0;0;2.13;48.25;29
824.1;-25;22.1;0.1;2;2.13;48.25;29
824.3;-19;22.1;0.1;2;2.13;48.25;29
824.5;-17;22.1;0.0;0;2.13;48.25;29
824.7;-18;22.1;0.0;0;2.13;48.25;29
824.9;-17;22.1;0.0;0;2.13;48.25;29
825.2;-17;22.1;0.0;0;2.13;48.25;29
825.4;-19;22.1;0.0;0;2.13;48.25;29
#Gelandet
#Min. Spannung: 21.5V, max. Strom: 20.3
