;;;;;;;;;;;;;;;;;0;0;0;1;1;1;4;4;4;7;8;8;8;8;8;8;16;16;18;19;20;21;22;24;25;25;25;28;28;28;31;
;;;;;;;;;;;;;;;;;RECEIVER;RECEIVER;RECEIVER;CURRENT F1678;CURRENT F1678;CURRENT F1678;CURRENT F1678;CURRENT F1678;CURRENT F1678;RPM SENSOR;GPS F1675  ;GPS F1675  ;GPS F1675  ;GPS F1675  ;GPS F1675  ;GPS F1675  ;VARIO F1712;VARIO F1712;TEMPERATURE SENSOR;TEMPERATURE SENSOR;TEMPERATURE SENSOR;TEMPERATURE SENSOR;TEMPERATURE SENSOR;TEMPERATURE F1713 ;CURRENT F1678;CURRENT F1678;CURRENT F1678;CURRENT F1678;CURRENT F1678;CURRENT F1678;RPM SENSOR;
TIME;CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8;CH9;CH10;CH11;CH12;CH13;CH14;CH15;CH16;BATTERY;EXTERNAL BATTERY;STATUS;CURRENT;VOLTAGE;CAPACITY;CURRENT;VOLTAGE;CAPACITY;ROTATION;DISTANCE;SPEED;ALTITUDE;VARIOMETER;LATITUDE;LONGITUDE;ALTITUDE;VARIOMETER;TEMPERATURE;TEMPERATURE;TEMPERATURE;TEMPERATURE;TEMPERATURE;TEMPERATURE;CURRENT;VOLTAGE;CAPACITY;CURRENT;VOLTAGE;CAPACITY;ROTATION;
5667;-14,0;11,6;-119,9;17,6;-24,7;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,4;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1965;---;---;---;     0;    0;  0;    0;   0,0;N 50:17.7951;E 10:57.3778;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
5920;-14,0;11,6;-119,9;17,6;-24,7;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,4;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1965;---;---;---;     0;    0;  0;    0;   0,0;N 50:17.7951;E 10:57.3778;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
6150;-14,0;11,6;-119,9;17,6;-24,7;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,4;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1965;---;---;---;     0;    0;  0;    0;   0,0;N 50:17.7951;E 10:57.3778;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
6402;-14,0;11,6;-119,9;17,6;-24,7;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,4;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1965;---;---;---;     0;    0;  0;    0;   0,0;N 50:17.7951;E 10:57.3778;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
6630;-14,0;11,5;-119,9;17,6;-24,7;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,4;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1965;---;---;---;     0;    0;  0;    0;   0,0;N 50:17.7951;E 10:57.3778;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
6882;-14,0;11,6;-119,9;17,6;-24,7;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,4;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1965;---;---;---;     0;    0;  0;    0;   0,0;N 50:17.7951;E 10:57.3778;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
7113;-14,0;11,5;-119,9;17,6;-24,7;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,4;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1965;---;---;---;     0;    0;  0;    0;   0,0;N 50:17.7951;E 10:57.3778;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
7341;-14,0;11,6;-119,9;17,6;-24,7;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,4;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1965;---;---;---;     0;    0;  0;    0;   0,0;N 50:17.7951;E 10:57.3778;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
7594;-14,0;11,6;-119,9;17,6;-24,7;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,4;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1965;---;---;---;     0;    0;  0;    0;   0,0;N 50:17.7951;E 10:57.3778;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
7823;-14,0;11,6;-119,9;17,6;-24,7;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,4;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1965;---;---;---;     0;    0;  0;    0;   0,0;N 50:17.7951;E 10:57.3778;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
