;;;;;;;;;;;;;;;;;0;0;0;1;1;1;4;4;4;7;8;8;8;8;8;8;16;16;18;19;20;21;22;24;25;25;25;28;28;28;31;
;;;;;;;;;;;;;;;;;RECEIVER;RECEIVER;RECEIVER;CURRENT F1678;CURRENT F1678;CURRENT F1678;CURRENT F1678;CURRENT F1678;CURRENT F1678;RPM SENSOR;GPS F1675  ;GPS F1675  ;GPS F1675  ;GPS F1675  ;GPS F1675  ;GPS F1675  ;VARIO F1712;VARIO F1712;TEMPERATURE SENSOR;TEMPERATURE SENSOR;TEMPERATURE SENSOR;TEMPERATURE SENSOR;TEMPERATURE SENSOR;TEMPERATURE F1713 ;CURRENT F1678;CURRENT F1678;CURRENT F1678;CURRENT F1678;CURRENT F1678;CURRENT F1678;RPM SENSOR;
TIME;CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8;CH9;CH10;CH11;CH12;CH13;CH14;CH15;CH16;BATTERY;EXTERNAL BATTERY;STATUS;CURRENT;VOLTAGE;CAPACITY;CURRENT;VOLTAGE;CAPACITY;ROTATION;DISTANCE;SPEED;ALTITUDE;VARIOMETER;LATITUDE;LONGITUDE;ALTITUDE;VARIOMETER;TEMPERATURE;TEMPERATURE;TEMPERATURE;TEMPERATURE;TEMPERATURE;TEMPERATURE;CURRENT;VOLTAGE;CAPACITY;CURRENT;VOLTAGE;CAPACITY;ROTATION;
57391;-14,0;10,9;33,0;17,3;-24,0;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,9;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1958;---;---;---;     0;    4;  0;   -4;   0,0;N 50:17.7948;E 10:57.3773;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
57644;-14,0;11,0;-82,9;17,1;-24,1;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,9;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1958;---;---;---;     0;    4;  0;   -4;   0,0;N 50:17.7948;E 10:57.3773;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
57874;-14,0;11,2;-118,7;17,6;-24,3;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,6;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1958;---;---;---;     0;    4;  0;   -4;   0,0;N 50:17.7948;E 10:57.3773;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
58229;-14,0;11,3;-119,9;17,4;-24,6;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,7;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1958;---;---;---;     0;    4;  0;   -4;   0,0;N 50:17.7948;E 10:57.3773;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
58481;-14,0;11,3;-119,9;15,8;-24,6;4,5;-152,2;139,9;-100,0;0,0;-100,0;5,5;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1958;---;---;---;     0;    4;  0;   -4;   0,0;N 50:17.7948;E 10:57.3773;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
58711;-14,0;11,3;-119,9;15,2;-24,6;4,5;-152,2;139,9;-100,0;0,0;-100,0;6,1;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1958;---;---;---;     0;    4;  0;   -4;   0,0;N 50:17.7948;E 10:57.3773;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
58964;-14,0;11,3;-119,9;15,8;-24,6;4,5;-152,2;139,9;-100,0;0,0;-100,0;5,5;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1958;---;---;---;     0;    4;  0;   -4;   0,0;N 50:17.7948;E 10:57.3773;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
59191;-14,0;11,3;-119,9;16,4;-24,4;4,5;-152,2;139,9;-100,0;0,0;-100,0;4,8;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1957;---;---;---;     0;    4;  5;   -4;   0,0;N 50:17.7947;E 10:57.3773;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
59547;-14,0;11,3;-119,9;15,9;-24,4;4,5;-152,2;139,9;-100,0;0,0;-100,0;5,4;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1957;---;---;---;     0;    4;  5;   -4;   0,0;N 50:17.7947;E 10:57.3773;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
59800;-14,0;11,5;-119,9;16,8;-24,6;4,5;-152,2;139,9;-100,0;0,0;-100,0;4,3;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1957;---;---;---;     0;    4;  0;   -4;   0,0;N 50:17.7947;E 10:57.3773;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
60027;-14,0;11,5;-119,9;16,8;-24,7;4,5;-152,2;139,9;-100,0;0,0;-100,0;4,3;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1957;---;---;---;     0;    4;  0;   -4;   0,0;N 50:17.7947;E 10:57.3773;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
60283;-14,0;11,6;-119,9;17,4;-24,7;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,7;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1957;---;---;---;     0;    4;  0;   -4;   0,0;N 50:17.7947;E 10:57.3774;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
60511;-14,0;11,6;-119,9;17,3;-24,7;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,7;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1957;---;---;---;     0;    4;  0;   -4;   0,0;N 50:17.7947;E 10:57.3774;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
60764;-14,0;11,6;-119,9;17,4;-24,7;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,7;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1957;---;---;---;     0;    4;  0;   -4;   0,0;N 50:17.7947;E 10:57.3774;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
60994;-14,0;11,6;-119,9;17,3;-24,9;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,7;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1957;---;---;---;     0;    4;  0;   -4;   0,0;N 50:17.7947;E 10:57.3774;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
61221;-14,0;11,6;-119,9;17,3;-24,9;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,7;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1957;---;---;---;     0;    4;  0;   -4;   0,0;N 50:17.7947;E 10:57.3774;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
61474;-14,0;11,6;-80,8;16,5;-24,9;4,5;-152,2;139,9;-100,0;0,0;-100,0;4,6;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1957;---;---;---;     0;    4;  0;   -4;   0,0;N 50:17.7947;E 10:57.3774;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
61707;-14,0;11,6;83,9;17,7;-24,7;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,4;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1957;---;---;---;     0;    4;  0;   -4;   0,0;N 50:17.7947;E 10:57.3774;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
61960;-14,0;11,6;83,9;17,6;-24,7;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,6;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1957;---;---;---;     0;    4;  0;   -4;   0,0;N 50:17.7947;E 10:57.3774;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
62189;-14,0;11,5;83,9;17,6;-24,7;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,6;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1957;---;---;---;     0;    4;  0;   -4;   0,0;N 50:17.7946;E 10:57.3775;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
62441;-14,0;11,5;83,9;17,6;-24,7;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,6;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1957;---;---;---;     0;    4;  0;   -4;   0,0;N 50:17.7946;E 10:57.3775;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
62671;-14,0;11,5;83,9;17,6;-24,7;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,6;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1957;---;---;---;     0;    4;  0;   -4;   0,0;N 50:17.7946;E 10:57.3775;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
62924;-14,0;11,5;83,9;17,7;-24,7;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,4;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1957;---;---;---;     0;    4;  0;   -4;   0,0;N 50:17.7946;E 10:57.3775;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
63151;-14,0;11,6;83,9;17,6;-24,7;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,4;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1957;---;---;---;     0;    4;  0;   -4;   0,0;N 50:17.7946;E 10:57.3775;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
63381;-14,0;11,6;83,9;17,6;-24,7;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,4;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1957;---;---;---;     0;    4;  0;   -4;   0,0;N 50:17.7946;E 10:57.3775;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
63634;-14,0;11,6;83,9;17,6;-24,7;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,4;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1957;---;---;---;     0;    4;  0;   -4;   0,0;N 50:17.7946;E 10:57.3775;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
63862;-14,0;11,6;83,9;17,6;-24,7;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,6;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1957;---;---;---;     0;    4;  0;   -4;   0,0;N 50:17.7946;E 10:57.3775;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
64117;-14,0;11,6;83,9;17,3;-24,7;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,7;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1957;---;---;---;     0;    4;  0;   -4;   0,0;N 50:17.7946;E 10:57.3775;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
64344;-14,0;11,6;83,9;17,4;-24,7;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,7;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1957;---;---;---;     0;    4;  0;   -4;   0,0;N 50:17.7946;E 10:57.3775;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
64597;-14,0;11,6;83,9;17,4;-24,7;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,7;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1957;---;---;---;     0;    4;  0;   -4;   0,0;N 50:17.7946;E 10:57.3775;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
64827;-14,0;11,6;83,9;17,4;-24,7;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,7;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1957;---;---;---;     0;    4;  0;   -4;   0,0;N 50:17.7946;E 10:57.3775;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
65080;-14,0;11,6;83,9;17,4;-24,7;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,7;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1957;---;---;---;     0;    4;  0;   -4;   0,0;N 50:17.7946;E 10:57.3775;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
65307;-14,0;11,6;83,9;17,3;-24,7;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,7;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1957;---;---;---;     0;    4;  0;   -4;   0,0;N 50:17.7946;E 10:57.3775;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
65562;-14,0;11,6;83,9;17,3;-24,7;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,7;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1957;---;---;---;     0;    4;  0;   -4;   0,0;N 50:17.7946;E 10:57.3775;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
65791;-14,0;11,6;83,9;17,6;-24,7;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,4;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1957;---;---;---;     0;    4;  0;   -4;   0,0;N 50:17.7946;E 10:57.3775;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
66044;-14,0;11,6;83,9;17,6;-24,7;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,6;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1957;---;---;---;     0;    4;  0;   -5;   0,0;N 50:17.7946;E 10:57.3775;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
66274;-14,0;11,6;83,9;17,6;-24,7;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,6;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1957;---;---;---;     0;    5;  0;   -5;   0,0;N 50:17.7946;E 10:57.3775;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
66501;-14,0;11,6;83,9;17,4;-24,7;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,7;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1957;---;---;---;     0;    5;  0;   -5;   0,0;N 50:17.7946;E 10:57.3775;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
66754;-14,0;11,6;83,9;17,6;-24,7;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,6;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1957;---;---;---;     0;    5;  0;   -5;   0,0;N 50:17.7946;E 10:57.3775;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
66984;-14,0;11,6;83,9;17,6;-24,7;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,6;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1957;---;---;---;     0;    5;  0;   -5;   0,0;N 50:17.7946;E 10:57.3774;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
67237;-14,0;11,6;83,9;17,6;-24,7;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,6;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1956;---;---;---;     0;    5;  0;   -5;   0,0;N 50:17.7946;E 10:57.3774;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
67464;-14,0;11,6;83,9;17,6;-24,7;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,6;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1956;---;---;---;     0;    5;  0;   -5;   0,0;N 50:17.7946;E 10:57.3774;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
67720;-14,0;11,6;83,9;17,6;-24,7;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,6;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1956;---;---;---;     0;    5;  0;   -5;   0,0;N 50:17.7946;E 10:57.3774;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
67947;-14,9;11,5;83,9;17,6;-24,7;3,7;-152,2;139,9;-100,0;0,0;-100,0;3,6;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1956;---;---;---;     0;    5;  0;   -5;   0,0;N 50:17.7946;E 10:57.3774;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
68200;-14,0;11,5;83,9;17,6;-24,7;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,6;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1956;---;---;---;     0;    5;  0;   -5;   0,0;N 50:17.7946;E 10:57.3774;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
68431;-14,0;11,6;83,9;17,6;-24,9;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,6;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1956;---;---;---;     0;    5;  0;   -5;   0,0;N 50:17.7946;E 10:57.3773;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
68683;-14,0;11,6;83,9;17,6;-24,9;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,6;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1956;---;---;---;     0;    5;  0;   -5;   0,0;N 50:17.7946;E 10:57.3773;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
68911;-14,0;11,6;83,9;17,1;-24,9;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,9;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1956;---;---;---;     0;    5;  0;   -5;   0,0;N 50:17.7946;E 10:57.3773;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
69164;-14,0;11,6;83,9;17,6;-24,9;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,6;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1956;---;---;---;     0;    5;  0;   -5;   0,0;N 50:17.7946;E 10:57.3773;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
69394;-14,0;11,6;83,9;17,6;-24,9;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,6;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1956;---;---;---;     0;    5;  0;   -5;   0,0;N 50:17.7946;E 10:57.3773;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
69621;-14,0;11,6;83,9;17,6;-24,9;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,6;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1956;---;---;---;     0;    5;  0;   -5;   0,0;N 50:17.7946;E 10:57.3773;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
69874;-14,0;11,6;83,9;17,6;-24,9;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,6;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1956;---;---;---;     0;    5;  0;   -5;   0,0;N 50:17.7946;E 10:57.3773;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
70104;-14,0;9,8;83,9;17,6;-22,9;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,6;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1956;---;---;---;     0;    5;  0;   -5;   0,0;N 50:17.7946;E 10:57.3773;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
70357;-14,0;11,5;83,9;17,3;-24,7;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,7;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1956;---;---;---;     0;    5;  0;   -5;   0,0;N 50:17.7946;E 10:57.3773;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
70584;-14,1;13,4;83,9;17,6;-26,6;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,6;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1956;---;---;---;     0;    5;  0;   -5;   0,0;N 50:17.7946;E 10:57.3773;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
70840;-14,1;31,8;73,7;16,8;-45,2;4,5;-152,2;139,9;-100,0;0,0;-100,0;4,3;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1956;---;---;---;     0;    5;  0;   -5;   0,0;N 50:17.7945;E 10:57.3772;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
71067;-21,9;69,9;51,9;17,9;-83,8;-3,0;-152,2;139,9;-100,0;0,0;-100,0;3,3;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1956;---;---;---;     0;    5;  0;   -5;   0,0;N 50:17.7945;E 10:57.3772;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
71320;-15,6;89,0;32,0;22,0;-89,9;2,8;-152,2;139,9;-100,0;0,0;-100,0;-1,2;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1956;---;---;---;     0;    5;  0;   -5;   0,0;N 50:17.7945;E 10:57.3772;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
71551;-14,0;83,6;7,7;20,8;-89,9;4,5;-152,2;139,9;-100,0;0,0;-100,0;0,1;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1956;---;---;---;     0;    5;  0;   -5;   0,0;N 50:17.7945;E 10:57.3772;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
71803;-13,1;81,2;-9,2;29,9;-89,9;5,4;-152,2;139,9;-100,0;0,0;-100,0;-10,0;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1956;---;---;---;     0;    5;  0;   -5;   0,0;N 50:17.7945;E 10:57.3772;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
72031;-14,0;72,6;-21,1;27,1;-86,6;4,5;-152,2;139,9;-100,0;0,0;-100,0;-6,8;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1956;---;---;---;     0;    5;  0;   -5;   0,0;N 50:17.7945;E 10:57.3772;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
72261;-14,9;62,5;1,3;29,2;-76,3;3,7;-152,2;139,9;-100,0;0,0;-100,0;-9,2;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1956;---;---;---;     0;    5;  0;   -5;   0,0;N 50:17.7945;E 10:57.3772;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
72514;-17,6;42,9;66,5;25,7;-56,4;1,2;-152,2;139,9;-100,0;0,0;-100,0;-5,4;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1956;---;---;---;     0;    5;  0;   -5;   0,0;N 50:17.7945;E 10:57.3772;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
72741;-12,5;63,4;67,9;30,4;-77,2;6,0;-152,2;139,9;-100,0;0,0;-100,0;-10,4;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1956;---;---;---;     0;    5;  0;   -5;   0,0;N 50:17.7945;E 10:57.3771;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
73124;-14,0;75,6;70,5;33,3;-89,6;4,5;-152,2;139,9;-100,0;0,0;-100,0;-13,5;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1956;---;---;---;     0;    5;  0;   -5;   0,0;N 50:17.7945;E 10:57.3771;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
73351;-12,2;70,5;41,1;43,5;-84,5;6,4;-152,2;139,9;-100,0;0,0;-100,0;-25,3;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1956;---;---;---;     0;    5;  0;   -5;   0,0;N 50:17.7945;E 10:57.3771;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
73604;-13,7;65,8;24,1;45,7;-79,6;4,8;-152,2;139,9;-100,0;0,0;-100,0;-27,7;0,0;0,0;0,0;0,0;  7,1;  0,0;3;   0,0;  7,7;  1956;---;---;---;     0;    5;  0;   -5;   0,0;N 50:17.7945;E 10:57.3771;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
73838;-11,8;66,5;17,1;45,7;-80,4;6,8;-152,2;139,9;-100,0;0,0;-100,0;-27,7;0,0;0,0;0,0;0,0;  7,1;  0,0;3;   0,0;  7,7;  1956;---;---;---;     0;    5;  0;   -5;   0,0;N 50:17.7945;E 10:57.3771;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
74065;-11,2;63,4;9,1;46,6;-77,2;7,4;-152,2;139,9;-100,0;0,0;-100,0;-28,9;0,0;0,0;0,0;0,0;  7,1;  0,0;3;   0,0;  7,7;  1955;---;---;---;     0;    5;  0;   -5;   0,0;N 50:17.7945;E 10:57.3771;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
74318;-10,4;61,0;44,8;54,5;-74,9;8,2;-152,2;139,9;-100,0;0,0;-100,0;-38,2;0,0;0,0;0,0;0,0;  7,1;  0,0;3;   0,0;  7,7;  1955;---;---;---;     0;    5;  0;   -5;   0,0;N 50:17.7945;E 10:57.3771;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
