;;;;;;;;;;;;;;;;;0;0;0;1;1;3;3;3;6;7;8;8;8;8;8;8;16;16;16;19;19;21;22;23;24;25;
;;;;;;;;;;;;;;;;;RECEIVER;RECEIVER;RECEIVER;VARIO F1712;VARIO F1712;CURRENT F1678;CURRENT F1678;CURRENT F1678;TEMPERATURE SENSOR;TEMPERATURE F1713 ;GPS F1675  ;GPS F1675  ;GPS F1675  ;GPS F1675  ;GPS F1675  ;GPS F1675  ;CURRENT F1678;CURRENT F1678;CURRENT F1678;VARIO F1712;VARIO F1712;RPM SENSOR;TEMPERATURE SENSOR;TEMPERATURE SENSOR;TEMPERATURE SENSOR;TEMPERATURE SENSOR;
TIME;CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8;CH9;CH10;CH11;CH12;CH13;CH14;CH15;CH16;BATTERY;EXTERNAL BATTERY;STATUS;ALTITUDE;VARIOMETER;CURRENT;VOLTAGE;CAPACITY;TEMPERATURE;TEMPERATURE;DISTANCE;SPEED;ALTITUDE;VARIOMETER;LATITUDE;LONGITUDE;CURRENT;VOLTAGE;CAPACITY;ALTITUDE;VARIOMETER;ROTATION;TEMPERATURE;TEMPERATURE;TEMPERATURE;TEMPERATURE;
11504;8,2;4,5;-135,0;18,2;-6,8;17,4;129,8;-7,9;-34,2;72,9;0,0;0,0;-11,9;-18,2;0,0;129,8;  5,5;  0,0;3;   -1;   0,0;   0,0; 25,0;     2;  90;   7;    2;  0;   -1;   0,0;N 46:36.9552;E 13:56.4990;   0,0; 25,0;     0;   -1;   0,0;     0; 179;  -1;  33;  34;
12545;2,5;10,1;-135,0;17,9;-6,1;17,0;129,8;-7,1;-34,8;73,5;0,0;0,0;-11,9;-18,2;0,0;129,8;  5,5;  0,0;3;   -1;   0,0;   0,0; 25,0;     2;  90;   7;    2;  0;   -1;   0,0;N 46:36.9552;E 13:56.4990;   0,0; 25,0;     0;   -1;   0,0;     0; 178;  -1;  33;  34;
13587;2,5;10,1;-135,0;17,9;-6,1;17,0;129,8;-7,3;-34,8;73,5;0,0;0,0;-11,9;-18,2;0,0;129,8;  5,5;  0,0;3;    0;   0,0;   0,0; 25,0;     2;  90;   7;    2;  0;   -1;   0,0;N 46:36.9552;E 13:56.4991;   0,0; 25,0;     0;   -1;   0,0;     0; 178;  -1;  33;  35;
14630;2,5;10,1;-135,0;17,9;-6,1;17,0;129,8;-7,1;-34,8;73,5;0,0;0,0;-11,9;-18,2;0,0;129,8;  5,5;  0,0;3;    0;   0,0;   0,0; 25,0;     2;  90;   7;    2;  0;   -1;   0,0;N 46:36.9552;E 13:56.4991;   0,0; 25,0;     0;   -1;   0,0;     0;   1;  -1;  33;  35;
15675;2,5;10,1;-135,0;17,9;-6,1;17,0;129,8;-7,1;-34,8;73,5;0,0;0,0;-11,9;-18,2;0,0;129,8;  5,5;  0,0;3;   -1;   0,0;   0,0; 25,0;     2;  90;   6;    2;  0;    0;   0,0;N 46:36.9552;E 13:56.4993;   0,0; 25,0;     0;    0;   0,0;     0; 178;  -1;  33;  35;
16719;2,7;10,1;-135,0;17,9;-6,1;17,0;129,8;-7,3;-34,8;73,5;0,0;0,0;-11,9;-18,2;0,0;129,8;  5,5;  0,0;3;    0;   0,0;   0,0; 25,0;     2;  90;   6;    2;  1;    0;   0,0;N 46:36.9552;E 13:56.4993;   0,0; 25,0;     0;    0;   0,0;     0; 178;  -1;  33;  34;
17760;2,7;10,1;-135,0;17,9;-6,1;17,0;129,8;-7,3;-34,8;73,5;0,0;0,0;-11,9;-18,2;0,0;129,8;  5,5;  0,0;3;    0;   0,0;   0,0; 25,0;     2;  90;   6;    2;  1;    0;   0,0;N 46:36.9552;E 13:56.4994;   0,0; 25,0;     0;    0;   0,0;     0; 178;  -1;  33;  33;
18801;2,7;10,1;-135,0;17,9;-6,1;17,0;129,8;-7,3;-34,8;73,5;0,0;0,0;-11,9;-18,2;0,0;129,8;  5,5;  0,0;3;    0;   0,0;   0,0; 25,0;     2;  77;   6;    2;  1;    1;   0,0;N 46:36.9556;E 13:56.4995;   0,0; 25,0;     0;    0;   0,0;     0; 178;  -1;  33;  33;
19843;2,7;10,1;-135,0;17,9;-6,1;17,0;129,8;-7,3;-34,8;73,5;0,0;0,0;-11,9;-18,2;0,0;129,8;  5,5;  0,0;3;    0;   0,0;   0,0; 25,0;     2;  77;   6;    3;  2;    1;   0,0;N 46:36.9556;E 13:56.4995;   0,0; 25,0;     0;    0;   0,0;     0;   1;  -1;  33;  33;
20886;2,7;10,1;-135,0;17,9;-6,1;17,0;129,8;-7,3;-34,8;73,5;0,0;0,0;-11,9;-18,2;0,0;129,8;  5,5;  0,0;3;    1;   0,0;   0,0; 25,0;     2;  77;   6;    3;  1;-6382;   0,0;N 46:36.9556;E 13:56.4995;   0,0; 25,0;     0;    1;   0,0;     0; 178;  -1;  33;  36;
