;;;;;;;;;;;;;;;;;0;0;0;1;1;16;
;;;;;;;;;;;;;;;;;RECEIVER;RECEIVER;RECEIVER;VARIO F1712;VARIO F1712;TEMPERATURE F1713 ;
TIME;CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8;CH9;CH10;CH11;CH12;CH13;CH14;CH15;CH16;BATTERY;EXTERNAL BATTERY;STATUS;ALTITUDE;VARIOMETER;TEMPERATURE;
26818;3,7;-4,0;-135,0;4,9;-6,8;-71,1;71,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-98,4;0,0;  8,0; 16,6;3;    1;  -0,3;  26;
27847;3,7;-4,0;-135,0;4,9;-6,8;-71,1;71,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-98,4;0,0;  8,0; 16,6;3;    0;  -0,3;  26;
28876;3,7;-4,0;-135,0;4,9;-6,8;-71,1;71,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-98,4;0,0;  8,0; 16,6;3;    0;  -0,3;  26;
29932;3,7;-4,0;-135,0;4,9;-6,8;-71,1;71,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-98,4;0,0;  8,0; 16,5;3;    0;  +0,1;  26;
30961;3,7;-4,0;-135,0;4,9;-6,8;-71,1;71,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-98,4;0,0;  8,0; 16,5;3;    0;  +0,1;  26;
31990;3,7;-4,0;-135,0;4,9;-6,8;-71,1;71,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-98,4;0,0;  8,0; 16,6;3;    0;  -0,3;  26;
33018;3,7;-4,0;-135,0;4,9;-6,8;-71,1;71,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-98,4;0,0;  8,0; 16,6;3;    0;  -0,2;  26;
34048;3,7;-4,0;-135,0;4,9;-6,8;-71,1;71,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-98,4;0,0;  8,0; 16,6;3;    0;  +0,4;  26;
35077;3,7;-4,0;-135,0;4,9;-6,8;-71,1;71,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-98,4;0,0;  8,0; 16,6;3;    1;  +0,4;  26;
36109;3,7;-4,0;-135,0;4,9;-6,8;-71,1;71,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-98,4;0,0;  8,0; 16,6;3;    1;  +0,2;  26;
37138;3,7;-4,0;-135,0;4,9;-6,8;-71,1;71,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-98,4;0,0;  8,0; 16,6;3;    1;  +0,1;  26;
38168;3,7;-4,0;-135,0;4,9;-6,8;-71,1;71,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-98,4;0,0;  8,0; 16,6;3;    1;  -0,1;  26;
39199;3,7;-4,0;-135,0;4,9;-6,8;-71,1;71,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-98,4;0,0;  8,0; 16,6;3;    1;  +0,2;  26;
40230;3,7;-4,0;-135,0;4,9;-6,8;-71,1;71,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-98,4;0,0;  8,0; 16,6;3;    1;  +0,2;  26;
41260;3,7;-4,0;-135,0;4,9;-6,8;-71,1;71,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-98,4;0,0;  8,0; 16,6;3;    1;  +0,3;  26;
42289;3,7;-4,0;-135,0;4,9;-6,8;-71,1;71,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-98,4;0,0;  8,0; 16,6;3;    1;   0,0;  26;
43318;3,7;-4,0;-135,0;4,9;-6,8;-71,1;71,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-98,4;0,0;  8,0; 16,6;3;    1;  -0,2;  26;
