;;;;;;;;;;;;;;;;;0;0;0;1;1;1;4;5;6;7;8;9;9;9;12;13;
;;;;;;;;;;;;;;;;;RECEIVER;RECEIVER;RECEIVER;CURRENT F1678;CURRENT F1678;CURRENT F1678;RPM SENSOR;TEMPERATURE F1713 ;TEMPERATURE F1713 ;TEMPERATURE F1713 ;TEMPERATURE F1713 ;CURRENT F1678;CURRENT F1678;CURRENT F1678;TEMPERATURE F1713 ;RPM SENSOR;
TIME;CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8;CH9;CH10;CH11;CH12;CH13;CH14;CH15;CH16;BATTERY;EXTERNAL BATTERY;STATUS;CURRENT;VOLTAGE;CAPACITY;ROTATION;TEMPERATURE;TEMPERATURE;TEMPERATURE;TEMPERATURE;CURRENT;VOLTAGE;CAPACITY;TEMPERATURE;ROTATION;
0;0,1;0,0;0,3;0,0;96,6;15,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;  7,9;  0,0;3;   0,0; 50,1;     0;     0;  31;  40;   0;   0;   0,3;  0,0;     0;  29;     0;
106;0,1;0,0;0,3;0,0;96,6;15,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;  7,9;  4,0;3;   0,0; 50,1;     0;     0;  31;  40;   0;   0;   0,3;  0,0;     0;  29;     0;
210;0,1;0,0;0,3;0,0;96,6;15,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;  7,9;  3,9;3;   0,0; 50,0;     0;     0;  32;  40;   0;   0;   0,3;  0,0;     0;  29;     0;
315;0,1;0,0;0,3;0,0;96,6;15,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;  7,9;  3,9;3;   0,0; 50,1;     0;     0;  31;  40;   0;   0;   0,3;  0,0;     0;  29;     0;
419;0,1;0,0;0,3;0,0;96,6;15,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;  7,9;  4,0;3;   0,0; 50,1;     0;     0;  31;  40;   0;   0;   0,3;  0,0;     0;  29;     0;
524;0,1;0,0;0,3;0,0;96,6;15,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;  7,9;  4,0;3;   0,0; 50,0;     0;     0;  32;  40;   0;   0;   0,7;  0,0;     0;  29;     0;
629;0,1;0,0;0,3;0,0;96,6;15,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;  7,9;  4,0;3;   0,0; 50,0;     0;     0;  31;  40;   0;   0;   0,3;  0,0;     0;  29;     0;
735;0,1;0,0;0,4;0,0;96,6;15,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;  7,9;  3,9;3;   0,0; 50,1;     0;     0;  32;  40;   0;   0;   0,4;  0,0;     0;  29;     0;
840;0,1;0,0;0,4;0,0;96,6;15,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;  7,9;  3,9;3;   0,0; 50,1;     0;     0;  32;  40;   0;   0;   0,3;  0,0;     0;  30;     0;
944;0,1;0,0;0,3;0,0;96,6;15,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;  7,9;  4,0;3;   0,0; 50,1;     0;     0;  32;  40;   0;   0;   0,3;  0,0;     0;  39;     0;
1048;0,1;0,0;0,3;0,0;96,6;15,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;  7,9;  4,0;3;   0,0; 50,1;     0;     0;  31;  40;   0;   0;   0,3;  0,0;     0;  38;     0;
1152;0,1;0,0;0,4;0,0;96,6;15,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;  7,9;  4,0;3;   0,0; 50,1;     0;     0;  31;  40;   0;   0;   0,3;  0,0;     0;  37;     0;
1256;0,1;0,0;0,3;0,0;96,6;15,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;  7,9;  4,0;3;   0,0; 50,1;     0;     0;  32;  40;   0;   0;   0,3;  0,0;     0;  37;     0;
1361;0,1;0,0;0,3;0,0;96,6;15,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;  7,9;  4,0;3;   0,0; 50,1;     0;     0;  32;  40;   0;   0;   0,3;  0,0;     0;  36;     0;
1466;0,1;0,0;0,3;0,0;96,6;15,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;  7,9;  4,0;3;   0,0; 50,1;     0;     0;  32;  40;   0;   0;   0,3;  0,0;     0;  35;     0;
1571;0,1;0,0;0,3;0,0;96,6;15,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;  7,9;  4,0;3;   0,0; 50,0;     0;     0;  32;  40;   0;   0;   0,3;  0,0;     0;  34;     0;
1677;0,1;0,0;0,3;0,0;96,6;15,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;  7,9;  4,0;3;   0,0; 50,0;     0;     0;  32;  40;   0;   0;   0,3;  0,0;     0;  34;     0;
1781;0,1;0,0;0,3;0,0;96,6;15,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;  7,9;  4,0;3;   0,0; 50,1;     0;     0;  32;  40;   0;   0;   0,3;  0,0;     0;  33;     0;
