Timestamp;BEC Current (A);BEC Voltage (V);BEC Power (W);BEC Temp (C);Current (A);Voltage (V);Power (W);FET Temp (C);Throttle (%);Output (%);RPM
92;0.00;5.50;0.00;;0.17;12.42;2.11;0.00;;95.00;6300.00
125;0.00;5.50;0.00;;0.17;12.42;2.11;0.00;;95.00;6300.00
158;0.00;5.50;0.00;;0.20;12.42;2.48;0.00;;95.00;0.00
191;0.00;5.50;0.00;;0.27;12.42;3.35;0.00;;95.00;0.00
224;0.00;5.50;0.00;;0.38;12.42;4.72;0.00;;95.00;12390.00
257;0.00;5.50;0.00;;0.17;12.42;2.11;0.00;;95.00;12390.00
290;0.00;5.50;0.00;;0.17;12.42;2.11;0.00;;95.00;12390.00
323;0.00;5.50;0.00;;0.17;12.42;2.11;0.00;;95.00;12390.00
356;0.00;5.50;0.00;;0.17;12.42;2.11;0.00;;95.00;0.00
389;0.00;5.50;0.00;;0.17;12.42;2.11;0.00;;95.00;0.00
422;0.00;5.50;0.00;;0.20;12.42;2.48;0.00;;95.00;0.00
455;0.00;5.50;0.00;;0.53;12.40;6.57;0.00;;95.00;15400.00
488;0.00;5.50;0.00;;0.18;12.40;2.23;0.00;;95.00;16000.00
521;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;16000.00
554;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;16000.00
587;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;0.00
620;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;0.00
653;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;0.00
686;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;0.00
719;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;0.00
752;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;0.00
785;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;0.00
818;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;0.00
851;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;0.00
884;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;0.00
917;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;0.00
950;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;0.00
983;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;0.00
1016;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;0.00
1049;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;0.00
1082;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;0.00
1115;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;0.00
1148;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;0.00
1181;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;0.00
1214;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;0.00
1247;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;0.00
1280;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;0.00
1313;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;0.00
1346;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;0.00
1379;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;0.00
1412;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;0.00
1445;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;0.00
1478;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;0.00
1511;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;0.00
1544;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;0.00
1577;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;0.00
1610;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;0.00
1643;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
1676;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
1709;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
1742;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
1775;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
1808;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
1841;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
1874;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
1907;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
1940;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
1973;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
2006;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
2039;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
2072;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
2105;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
2138;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
2171;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
2204;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
2237;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
2270;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
2303;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
2336;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
2369;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
2402;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
2435;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
2468;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
2501;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
2534;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
2567;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
2600;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
2633;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
2666;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
2699;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
2732;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
2765;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
2798;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
2831;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
2864;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
2897;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
2930;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
2963;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
2996;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
3029;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
3062;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
3095;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
3128;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
3161;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
3194;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
3227;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
3260;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
3293;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
3326;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
3359;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
3392;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
3425;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
3458;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
3491;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
3524;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
3557;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
3590;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
3623;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
3656;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
3689;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
3722;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
3755;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
3788;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
3821;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
3854;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
3887;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
3920;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
3953;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
3986;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
4019;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
4052;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
4085;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
4118;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
4151;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
4184;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
4217;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
4250;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
4283;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
4316;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
4349;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
4382;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
4415;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
4448;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
4481;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
4514;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
4547;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
4580;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
4613;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
4646;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
4679;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
4712;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
4745;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
4778;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
4811;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
4844;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
4877;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
4910;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
4943;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
4976;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
5009;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
5042;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
5075;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
5108;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
5141;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
5174;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
5207;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
5240;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
5273;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
5306;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
5339;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
5372;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
5405;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
5438;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
5471;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
5504;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
5537;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
5570;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
5603;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
5636;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
5669;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
5702;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
5735;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
5768;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
5801;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
5834;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
5867;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
5900;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
5933;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
5966;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
5999;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
6032;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
6065;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
6098;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
6131;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
6164;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
6197;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
6230;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
6263;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
6296;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
6329;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
6362;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
6395;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
6428;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
6461;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
6494;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
6527;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
6560;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
6593;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
6626;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
6659;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
6692;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
6725;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
6758;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
6791;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
6824;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
6857;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
6890;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
6923;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
6956;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
6989;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
7022;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
7055;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
7088;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
7121;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
7154;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
7187;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
7220;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
7253;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
7286;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
7319;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
7352;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
7385;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
7418;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
7451;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
7484;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
7517;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
7550;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
7583;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
7616;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
7649;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
7682;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
7715;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
7748;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
7781;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
7814;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
7847;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
7880;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
7913;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
7946;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
7979;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
8012;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
8045;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
8078;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
8111;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
8144;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
8177;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
8237;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
8270;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
8303;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
8336;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
8369;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
8402;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
8435;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
8468;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
8507;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
8540;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
8573;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
8606;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
8639;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
8672;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
8705;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
8738;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
8771;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
8804;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
8837;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
8870;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
8903;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
8936;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
8969;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
9002;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
9035;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
9068;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
9101;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
9134;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
9167;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
9200;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
9233;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
9266;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
9299;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
9332;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
9365;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
9398;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
9431;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
9464;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
9497;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
9530;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
9563;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
9596;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
9629;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
9662;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
9695;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
9728;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
9761;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
9794;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
9827;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
9860;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
9893;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
9926;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
9959;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
9992;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
10025;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
10058;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
10091;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
10124;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
10157;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
10190;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
10223;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
10256;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
10289;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
10322;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
10355;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
10388;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
10421;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
10454;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
10487;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
10520;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
10553;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
10586;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
10619;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
10652;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
10685;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
10718;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
10751;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
10784;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
10818;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
10851;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
10884;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
10917;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
10950;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
10983;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
11016;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
11049;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
11082;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
11115;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
11148;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
11181;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
11214;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
11247;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
11280;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
