# Ariane V10 1
000000000;4264123810;0;Rx;
000000000;4264123810;1;U Rx;V
000000000;4202000001;0;LinkVario;
000000000;4202000001;1;Hoehe;m
000000000;4202000001;2;Vario;m/s
000000000;4202000001;3;IntegVario;m/s
000000000;4202000001;4;Motorspann;V
000000000;4202000001;5;Motorstrom;A
000000000;4202000001;6;Kapazitaet;Ah
000000000;4202000001;7;Temperatur;°C
000000000;4202000001;8;PitotSpeed;m/s
000000000;4202000001;9;UB Vario;V
000000000;4202000001;10;Longitude;°
000000000;4202000001;11;Latitude;°
000000000;4202000001;12;GPS-Hoehe;m
000000000;4202000001;13;GPS-Kurs;°
000000000;4202000001;14;GPS-Speed;m/s
000000000;4202000001;15;Entfernung;m
000000000;4202000001;16;Modell-Pos;°
001187193;4202000001;1;1;1;63
001187193;4202000001;2;1;2;9
001187193;4202000001;3;1;2;1
001187193;4202000001;4;1;1;164
001187193;4202000001;5;1;1;0
001187193;4202000001;6;1;2;17
001187193;4202000001;7;1;1;153
001187193;4202000001;8;1;0;0
001187193;4202000001;9;1;2;502
001187193;4202000001;10;9;1;616475
001187193;4202000001;11;9;0;3123082
001187193;4202000001;12;1;0;438
001187195;4202000001;13;1;0;33
001187195;4202000001;14;1;0;0
001187196;4202000001;15;1;0;25
001187196;4202000001;16;1;0;320
001187294;4202000001;1;1;1;62
001187294;4202000001;2;1;2;10
001187294;4202000001;3;1;2;1
001187294;4202000001;4;1;1;164
001187294;4202000001;5;1;1;0
001187417;4202000001;2;1;2;12
001187417;4202000001;6;1;2;17
001187417;4202000001;7;1;1;151
001187417;4202000001;8;1;0;0
001187418;4202000001;9;1;2;502
001187533;4264123810;1;1;2;492
001187556;4202000001;2;1;2;10
001187558;4202000001;10;9;1;616476
001187558;4202000001;11;9;0;3123082
001187558;4202000001;14;1;0;0
001187676;4202000001;2;1;2;12
001187676;4202000001;12;1;0;438
001187676;4202000001;13;1;0;33
001187676;4202000001;15;1;0;25
001187676;4202000001;16;1;0;320
001187816;4202000001;1;1;1;67
001187816;4202000001;2;1;2;13
001187816;4202000001;3;1;2;4294967295
001187816;4202000001;4;1;1;137
001187816;4202000001;5;1;1;1034
001187936;4202000001;2;1;2;31
001187936;4202000001;6;1;2;18
001187936;4202000001;7;1;1;153
001187936;4202000001;8;1;0;0
001187938;4202000001;9;1;2;502
001188036;4264123810;1;1;2;492
001188136;4202000001;2;1;2;60
001188136;4202000001;10;9;1;616476
001188136;4202000001;11;9;0;3123082
001188136;4202000001;14;1;0;0
001188276;4202000001;2;1;2;93
001188276;4202000001;12;1;0;438
001188276;4202000001;13;1;0;21
001188276;4202000001;15;1;0;25
001188276;4202000001;16;1;0;320
001188416;4202000001;1;1;1;85
001188416;4202000001;2;1;2;101
001188416;4202000001;3;1;2;4294967295
001188416;4202000001;4;1;1;135
001188416;4202000001;5;1;1;905
001188556;4264123810;1;1;2;492
001188556;4202000001;2;1;2;111
001188556;4202000001;6;1;2;20
001188556;4202000001;7;1;1;153
001188556;4202000001;8;1;0;0
001188556;4202000001;9;1;2;502
001188676;4202000001;2;1;2;121
001188676;4202000001;10;9;1;616476
001188676;4202000001;11;9;0;3123082
001188676;4202000001;14;1;0;0
001188796;4202000001;2;1;2;131
001188796;4202000001;12;1;0;438
001188796;4202000001;13;1;0;21
001188796;4202000001;15;1;0;25
001188796;4202000001;16;1;0;320
001188936;4202000001;1;1;1;85
001188938;4202000001;2;1;2;143
001188938;4202000001;3;1;2;230
001188938;4202000001;4;1;1;134
001188938;4202000001;5;1;1;683
001189076;4264123810;1;1;2;492
001189156;4202000001;2;1;2;172
001189156;4202000001;6;1;2;20
001189156;4202000001;7;1;1;155
001189156;4202000001;8;1;0;0
001189156;4202000001;9;1;2;502
001189396;4202000001;2;1;2;222
001189396;4202000001;10;9;1;616476
001189396;4202000001;11;9;0;3123084
001189396;4202000001;14;1;0;6
001189536;4202000001;2;1;2;253
001189536;4202000001;12;1;0;439
001189538;4202000001;13;1;0;16
001189538;4202000001;15;1;0;28
001189538;4202000001;16;1;0;328
001189596;4264123810;1;1;2;492
001189676;4202000001;1;1;1;107
001189676;4202000001;2;1;2;289
001189676;4202000001;3;1;2;225
001189676;4202000001;4;1;1;134
001189676;4202000001;5;1;1;648
001189816;4202000001;2;1;2;335
001189816;4202000001;6;1;2;22
001189816;4202000001;7;1;1;156
001189816;4202000001;8;1;0;0
001189816;4202000001;9;1;2;502
001189939;4202000001;2;1;2;380
001189939;4202000001;10;9;1;616476
001189939;4202000001;11;9;0;3123084
001189942;4202000001;14;1;0;6
001190116;4264123810;1;1;2;492
001190136;4202000001;2;1;2;454
001190136;4202000001;12;1;0;447
001190136;4202000001;13;1;0;9
001190136;4202000001;15;1;0;39
001190136;4202000001;16;1;0;341
001190256;4202000001;1;1;1;153
001190256;4202000001;2;1;2;508
001190256;4202000001;3;1;2;225
001190256;4202000001;4;1;1;133
001190256;4202000001;5;1;1;730
001190415;4202000001;2;1;2;570
001190415;4202000001;6;1;2;22
001190415;4202000001;7;1;1;159
001190415;4202000001;8;1;0;4
001190418;4202000001;9;1;2;502
001190536;4202000001;2;1;2;637
001190536;4202000001;10;9;1;616478
