# Funtana
000000000;4310520667;0;MUI-75;
000000000;4310520667;1;Voltage;V
000000000;4310520667;2;Current;A
000000000;4310520667;3;Capacity;mAh
000000000;4310520667;4;Run time;s
000198856;4310520667;3;4;0;89
000198856;4310520667;4;5;0;10
000198876;4310520667;1;1;1;353
000198876;4310520667;2;1;1;671
000198876;4310520667;3;4;0;89
000198876;4310520667;4;5;0;10
000199103;4310520667;1;1;1;353
000199103;4310520667;2;1;1;665
000199103;4310520667;3;4;0;93
000199103;4310520667;4;5;0;10
000199276;4310520667;1;1;1;353
000199276;4310520667;2;1;1;662
000199276;4310520667;3;4;0;97
000199276;4310520667;4;5;0;10
000199496;4310520667;1;1;1;352
000199496;4310520667;2;1;1;666
000199496;4310520667;3;4;0;101
000199500;4310520667;4;5;0;10
000199756;4310520667;1;1;1;352
000199756;4310520667;2;1;1;670
000199756;4310520667;3;4;0;106
000199756;4310520667;4;5;0;10
000199943;4310520667;1;1;1;351
000199943;4310520667;2;1;1;677
000199943;4310520667;3;4;0;110
000199943;4310520667;4;5;0;11
000200173;4310520667;1;1;1;351
000200173;4310520667;2;1;1;682
000200173;4310520667;3;4;0;114
000200174;4310520667;4;5;0;11
000200376;4310520667;1;1;1;350
000200376;4310520667;2;1;1;686
000200376;4310520667;3;4;0;118
000200379;4310520667;4;5;0;11
000200596;4310520667;1;1;1;349
000200596;4310520667;2;1;1;689
000200596;4310520667;3;4;0;122
000200596;4310520667;4;5;0;11
000200816;4310520667;1;1;1;349
000200816;4310520667;2;1;1;692
000200816;4310520667;3;4;0;127
000200816;4310520667;4;5;0;12
000201017;4310520667;1;1;1;349
000201017;4310520667;2;1;1;695
000201017;4310520667;3;4;0;131
000201019;4310520667;4;5;0;12
000201253;4310520667;1;1;1;348
000201253;4310520667;2;1;1;695
000201253;4310520667;3;4;0;135
000201253;4310520667;4;5;0;12
000201436;4310520667;1;1;1;348
000201436;4310520667;2;1;1;696
000201436;4310520667;3;4;0;139
000201436;4310520667;4;5;0;12
000201657;4310520667;1;1;1;347
000201657;4310520667;2;1;1;698
000201657;4310520667;3;4;0;143
000201657;4310520667;4;5;0;12
000201863;4310520667;1;1;1;347
000201863;4310520667;2;1;1;697
000201863;4310520667;3;4;0;148
000201863;4310520667;4;5;0;13
000202093;4310520667;1;1;1;347
000202093;4310520667;2;1;1;692
000202093;4310520667;3;4;0;152
000202093;4310520667;4;5;0;13
000202296;4310520667;1;1;1;347
000202296;4310520667;2;1;1;696
000202296;4310520667;3;4;0;156
000202296;4310520667;4;5;0;13
000202496;4310520667;1;1;1;346
000202496;4310520667;2;1;1;700
000202496;4310520667;3;4;0;160
000202496;4310520667;4;5;0;13
000202703;4310520667;1;1;1;346
000202703;4310520667;2;1;1;700
000202703;4310520667;3;4;0;165
000202703;4310520667;4;5;0;13
000202933;4310520667;1;1;1;346
000202933;4310520667;2;1;1;700
000202933;4310520667;3;4;0;169
000202933;4310520667;4;5;0;14
