UniLog;Motormessung
Zeit [sec];SpannungEmpf [---];Spannung [---];Strom [---];Drehzahl [---];Höhe [---];Geschwindigkeit [---];ServoImpuls [---];TempIntern [---]
0.000; 0.000;16.630;0.020;0.000;0.200;2.300;1166.000;16.700
0.250; 0.000;16.630;0.020;0.000;0.200;2.300;1166.000;16.700
0.500; 0.000;16.630;0.000;0.000;0.100;2.300;1166.000;16.700
0.750; 0.000;16.630;0.000;0.000;0.200;0.000;1166.000;16.700
1.000; 0.000;16.630;0.000;0.000;0.300;0.000;1166.000;16.700
1.250; 0.000;16.630;0.000;0.000;0.300;0.000;1167.000;16.700
1.500; 0.000;16.630;0.000;0.000;0.300;0.000;1166.000;16.700
1.750; 0.000;16.630;0.000;0.000;0.200;0.000;1166.000;16.700
2.000; 0.000;16.630;0.000;0.000;0.100;2.300;1167.000;16.700
2.250; 0.000;16.630;0.000;0.000;0.000;2.300;1167.000;16.700
2.500; 0.000;16.630;0.000;0.000;0.100;2.300;1166.000;16.700
2.750; 0.000;16.630;0.000;0.000;0.100;2.300;1166.000;16.700
3.000; 0.000;16.630;0.000;0.000;0.200;2.300;1166.000;16.700
3.250; 0.000;16.630;0.000;0.000;0.300;0.000;1166.000;16.700
3.500; 0.000;16.630;0.000;0.000;0.300;2.300;1166.000;16.700
3.750; 0.000;16.630;0.000;0.000;0.200;2.300;1166.000;16.700
4.000; 0.000;16.630;0.000;0.000;0.200;2.300;1166.000;16.700
4.250; 0.000;16.630;0.000;0.000;0.300;2.300;1167.000;16.700
4.500; 0.000;16.630;0.000;0.000;0.300;2.300;1166.000;16.700
4.750; 0.000;16.630;0.000;0.000;0.400;2.300;1166.000;16.700
5.000; 0.000;16.630;0.000;0.000;0.500;2.300;1166.000;16.700
5.250; 0.000;16.630;0.000;0.000;0.500;0.000;1166.000;16.700
5.500; 0.000;16.630;0.000;0.000;0.500;0.000;1166.000;16.700
5.750; 0.000;16.630;0.000;0.000;0.500;2.300;1165.000;16.700
6.000; 0.000;16.630;0.000;0.000;0.400;0.000;1166.000;16.700
6.250; 0.000;16.630;0.000;0.000;0.300;2.300;1166.000;16.700
6.500; 0.000;16.630;0.000;0.000;0.300;2.300;1166.000;16.700
6.750; 0.000;16.630;0.000;0.000;0.200;2.300;1166.000;16.700
7.000; 0.000;16.630;0.000;0.000;0.200;0.000;1166.000;16.700
7.250; 0.000;16.630;0.000;0.000;0.200;2.300;1166.000;16.800
7.500; 0.000;16.630;0.000;0.000;0.200;2.300;1166.000;16.700
7.750; 0.000;16.630;0.000;0.000;0.100;0.000;1166.000;16.700
8.000; 0.000;16.630;0.000;0.000;0.100;2.300;1166.000;16.800
8.250; 0.000;16.630;0.000;0.000;0.000;0.000;1167.000;16.800
8.500; 0.000;16.630;0.000;0.000;-0.100;2.300;1166.000;16.800
8.750; 0.000;16.630;0.000;0.000;-0.100;2.300;1167.000;16.800
9.000; 0.000;16.630;0.000;0.000;0.000;0.000;1166.000;16.800
9.250; 0.000;16.630;0.000;0.000;0.100;2.300;1166.000;16.800
9.500; 0.000;16.630;0.000;0.000;0.200;2.300;1166.000;16.800
9.750; 0.000;16.630;0.000;0.000;0.300;2.300;1166.000;16.800
10.000; 0.000;16.630;0.000;0.000;0.300;2.300;1166.000;16.800
10.250; 0.000;16.630;0.000;0.000;0.300;2.300;1166.000;16.800
10.500; 0.000;16.630;0.000;0.000;0.300;0.000;1166.000;16.800
10.750; 0.000;16.630;0.000;0.000;0.400;2.300;1166.000;16.800
11.000; 0.000;16.630;0.000;0.000;0.500;2.300;1166.000;16.800
11.250; 0.000;16.630;0.000;0.000;0.500;2.300;1166.000;16.800
11.500; 0.000;16.630;0.000;0.000;0.600;2.300;1166.000;16.800
11.750; 0.000;16.630;0.000;0.000;0.600;2.300;1167.000;16.800
12.000; 0.000;16.630;0.000;0.000;0.600;2.300;1166.000;16.800
12.250; 0.000;16.630;0.000;0.000;0.600;2.300;1166.000;16.800
12.500; 0.000;16.630;0.000;0.000;0.600;2.300;1166.000;16.800
12.750; 0.000;16.630;0.000;0.000;0.600;2.300;1165.000;16.800
13.000; 0.000;16.630;0.000;0.000;0.700;2.300;1167.000;16.800
13.250; 0.000;16.630;0.000;0.000;0.800;2.300;1166.000;16.800
13.500; 0.000;16.630;0.000;0.000;0.800;2.300;1166.000;16.800
13.750; 0.000;16.630;0.000;0.000;0.800;2.300;1166.000;16.800
14.000; 0.000;16.630;0.000;0.000;0.800;2.300;1166.000;16.800
14.250; 0.000;16.630;0.000;0.000;0.700;2.300;1166.000;16.800
14.500; 0.000;16.630;0.000;0.000;0.700;2.300;1166.000;16.800
14.750; 0.000;16.630;0.000;0.000;0.600;2.300;1166.000;16.800
15.000; 0.000;16.630;0.000;0.000;0.700;2.300;1165.000;16.800
15.250; 0.000;16.630;0.000;0.000;0.700;2.300;1166.000;16.900
15.500; 0.000;16.630;0.000;0.000;0.700;2.300;1166.000;16.900
15.750; 0.000;16.630;0.000;0.000;0.700;2.300;1166.000;16.900
16.000; 0.000;16.630;0.000;0.000;0.800;2.300;1166.000;16.900
16.250; 0.000;16.630;0.000;0.000;0.800;2.300;1166.000;16.900
16.500; 0.000;16.630;0.000;0.000;0.900;2.300;1166.000;16.900
16.750; 0.000;16.630;0.000;0.000;0.900;2.300;1166.000;16.900
17.000; 0.000;16.630;0.000;0.000;1.000;2.300;1166.000;16.900
17.250; 0.000;16.630;0.000;0.000;1.000;2.300;1165.000;16.900
17.500; 0.000;16.630;0.000;0.000;1.000;2.300;1166.000;16.900
17.750; 0.000;16.630;0.000;0.000;1.000;2.300;1166.000;16.900
18.000; 0.000;16.630;0.000;0.000;1.000;2.300;1166.000;16.900
18.250; 0.000;16.630;0.000;0.000;1.000;2.300;1166.000;16.900
18.500; 0.000;16.630;0.000;0.000;1.000;2.300;1166.000;16.900
18.750; 0.000;16.630;0.000;0.000;1.000;2.300;1166.000;16.900
19.000; 0.000;16.630;0.000;0.000;1.100;2.300;1167.000;16.900
19.250; 0.000;16.630;0.000;0.000;1.100;2.300;1166.000;16.900
19.500; 0.000;16.630;0.000;0.000;1.100;2.300;1166.000;16.900
19.750; 0.000;16.630;0.000;0.000;1.100;2.300;1166.000;16.900
20.000; 0.000;16.630;0.000;0.000;1.000;2.300;1166.000;16.900
20.250; 0.000;16.630;0.000;0.000;1.000;2.300;1166.000;16.900
20.500; 0.000;16.630;0.000;0.000;1.100;2.300;1166.000;16.900
20.750; 0.000;16.630;0.000;0.000;1.100;2.300;1167.000;16.900
21.000; 0.000;16.630;0.000;0.000;1.100;2.300;1166.000;16.900
21.250; 0.000;16.630;0.000;0.000;1.100;2.300;1166.000;16.900
21.500; 0.000;16.630;0.000;0.000;1.100;2.300;1166.000;16.900
21.750; 0.000;16.630;0.000;0.000;1.100;2.300;1166.000;16.900
22.000; 0.000;16.630;0.000;0.000;1.100;2.300;1165.000;16.900
22.250; 0.000;16.630;0.000;0.000;1.100;2.300;1167.000;16.900
22.500; 0.000;16.630;0.000;0.000;1.100;2.300;1166.000;16.900
22.750; 0.000;16.630;0.000;0.000;1.100;2.300;1166.000;16.900
23.000; 0.000;16.630;0.000;0.000;1.100;2.300;1166.000;16.900
23.250; 0.000;16.630;0.000;0.000;1.100;2.300;1166.000;16.900
23.500; 0.000;16.630;0.000;0.000;1.100;2.300;1166.000;16.900
23.750; 0.000;16.630;0.000;0.000;1.100;2.300;1167.000;16.900
24.000; 0.000;16.630;0.000;0.000;1.100;2.300;1166.000;16.900
24.250; 0.000;16.630;0.000;0.000;1.100;2.300;1165.000;16.900
24.500; 0.000;16.630;0.000;0.000;1.100;2.300;1166.000;16.900
24.750; 0.000;16.630;0.000;0.000;1.100;2.300;1166.000;16.900
25.000; 0.000;16.630;0.000;0.000;1.000;0.000;1166.000;16.900
25.250; 0.000;16.630;0.000;0.000;1.000;2.300;1166.000;16.900
25.500; 0.000;16.630;0.000;0.000;1.000;2.300;1166.000;16.900
25.750; 0.000;16.630;0.000;0.000;1.000;2.300;1166.000;16.900
26.000; 0.000;16.630;0.000;0.000;1.000;2.300;1166.000;16.900
26.250; 0.000;16.630;0.000;0.000;1.000;2.300;1166.000;17.000
26.500; 0.000;16.630;0.000;0.000;1.200;2.300;1166.000;17.000
26.750; 0.000;16.630;0.000;0.000;1.500;2.300;1166.000;17.000
27.000; 0.000;16.630;0.000;0.000;1.800;2.300;1166.000;17.000
27.250; 0.000;16.630;0.000;0.000;2.000;2.300;1166.000;17.000
27.500; 0.000;16.630;0.000;0.000;2.200;2.300;1166.000;17.000
27.750; 0.000;16.630;0.000;0.000;2.200;2.300;1166.000;17.000
28.000; 0.000;16.630;0.000;0.000;2.200;2.300;1166.000;17.000
28.250; 0.000;16.630;0.000;0.000;2.200;0.000;1166.000;17.000
28.500; 0.000;16.630;0.000;0.000;2.300;2.300;1166.000;17.000
28.750; 0.000;16.630;0.000;0.000;2.400;2.300;1166.000;17.000
29.000; 0.000;16.630;0.000;0.000;2.500;2.300;1166.000;17.000
29.250; 0.000;16.630;0.000;0.000;2.600;2.300;1167.000;17.000
29.500; 0.000;16.630;0.000;0.000;2.600;2.300;1166.000;17.000
29.750; 0.000;16.630;0.000;0.000;2.600;2.300;1166.000;17.000
30.000; 0.000;16.630;0.000;0.000;2.500;2.300;1166.000;17.000
30.250; 0.000;16.630;0.000;0.000;2.500;2.300;1166.000;17.000
30.500; 0.000;16.630;0.000;0.000;2.600;2.300;1166.000;17.000
30.750; 0.000;16.630;0.000;0.000;2.700;2.300;1166.000;17.000
31.000; 0.000;16.630;0.000;0.000;2.700;2.300;1166.000;17.000
31.250; 0.000;16.630;0.000;0.000;2.800;2.300;1166.000;17.000
31.500; 0.000;16.630;0.000;0.000;2.900;2.300;1166.000;17.000
31.750; 0.000;16.630;0.000;0.000;3.000;2.300;1166.000;17.000
32.000; 0.000;16.630;0.000;0.000;3.000;2.300;1166.000;17.000
32.250; 0.000;16.630;0.000;0.000;3.000;2.300;1166.000;17.000
32.500; 0.000;16.630;0.000;0.000;2.900;0.000;1166.000;17.000
32.750; 0.000;16.630;0.000;0.000;2.800;2.300;1166.000;17.000
33.000; 0.000;16.630;0.000;0.000;2.700;2.300;1166.000;17.000
33.250; 0.000;16.630;0.000;0.000;2.700;2.300;1166.000;17.000
33.500; 0.000;16.630;0.000;0.000;2.600;2.300;1166.000;17.000
33.750; 0.000;16.630;0.000;0.000;2.700;2.300;1166.000;17.000
34.000; 0.000;16.630;0.000;0.000;2.800;2.300;1165.000;17.000
34.250; 0.000;16.630;0.000;0.000;2.800;2.300;1166.000;17.000
34.500; 0.000;16.630;0.000;0.000;2.700;2.300;1166.000;17.000
34.750; 0.000;16.630;0.000;0.000;2.700;2.300;1166.000;17.000
35.000; 0.000;16.630;0.000;0.000;2.500;2.300;1166.000;17.000
35.250; 0.000;16.630;0.000;0.000;2.500;2.300;1166.000;17.000
35.500; 0.000;16.630;0.000;0.000;2.500;2.300;1166.000;17.000
35.750; 0.000;16.300;3.140;1017.000;2.500;0.000;1166.000;17.000
36.000; 0.000;15.520;10.440;2164.000;2.500;0.000;1166.000;17.000
36.250; 0.000;13.500;27.780;3922.000;2.500;0.000;1166.000;17.000
36.500; 0.000;12.570;34.720;4770.000;2.500;0.000;1166.000;17.000
36.750; 0.000;14.680;12.330;4326.000;2.400;0.000;1165.000;17.000
37.000; 0.000;16.220;-0.030;2249.000;2.300;2.300;1166.000;17.000
37.250; 0.000;16.340;-0.120;1773.000;2.400;3.300;1167.000;17.000
37.500; 0.000;16.370;-0.120;1486.000;2.400;3.300;1166.000;17.000
37.750; 0.000;16.400;-0.060;1382.000;2.400;3.300;1166.000;17.000
38.000; 0.000;16.410;-0.020;1382.000;2.300;2.300;1166.000;17.000
38.250; 0.000;16.420;0.000;0.000;2.300;2.300;1167.000;17.000
38.500; 0.000;16.430;0.000;0.000;2.200;2.300;1165.000;17.000
38.750; 0.000;16.440;0.000;0.000;2.300;2.300;1166.000;17.000
39.000; 0.000;16.450;0.000;0.000;2.300;2.300;1165.000;17.000
39.250; 0.000;16.450;0.000;0.000;2.300;2.300;1167.000;17.000
39.500; 0.000;16.450;0.000;0.000;2.200;2.300;1166.000;17.100
39.750; 0.000;16.460;0.000;0.000;2.100;2.300;1166.000;17.000
40.000; 0.000;16.460;0.000;0.000;2.000;2.300;1166.000;17.100
40.250; 0.000;16.470;0.000;0.000;1.800;2.300;1166.000;17.000
40.500; 0.000;16.470;0.000;0.000;1.700;2.300;1166.000;17.100
40.750; 0.000;16.480;0.000;0.000;1.800;2.300;1167.000;17.100
41.000; 0.000;16.480;0.000;0.000;1.800;2.300;1167.000;17.100
41.250; 0.000;16.480;0.000;0.000;1.800;2.300;1167.000;17.100
41.500; 0.000;16.480;0.000;0.000;1.800;2.300;1166.000;17.100
41.750; 0.000;16.480;0.000;0.000;1.900;2.300;1166.000;17.100
42.000; 0.000;16.480;0.000;0.000;1.900;2.300;1166.000;17.100
42.250; 0.000;16.490;0.000;0.000;2.000;2.300;1166.000;17.100
42.500; 0.000;16.490;0.000;0.000;2.100;2.300;1166.000;17.100
42.750; 0.000;16.490;0.000;0.000;2.200;2.300;1166.000;17.100
43.000; 0.000;16.490;0.000;0.000;2.200;2.300;1167.000;17.100
43.250; 0.000;16.500;0.000;0.000;2.200;2.300;1166.000;17.100
43.500; 0.000;16.500;0.000;0.000;2.200;2.300;1166.000;17.100
43.750; 0.000;16.500;0.000;0.000;2.200;2.300;1166.000;17.100
44.000; 0.000;16.500;0.000;0.000;2.200;2.300;1166.000;17.100
44.250; 0.000;16.500;0.000;0.000;2.200;2.300;1166.000;17.100
44.500; 0.000;16.500;0.000;0.000;2.200;2.300;1166.000;17.100
44.750; 0.000;16.500;0.000;0.000;2.200;0.000;1166.000;17.100
45.000; 0.000;16.500;0.000;0.000;2.100;2.300;1166.000;17.100
45.250; 0.000;16.500;0.000;0.000;2.100;2.300;1166.000;17.100
45.500; 0.000;16.500;0.000;0.000;2.100;2.300;1166.000;17.100
45.750; 0.000;16.500;0.000;0.000;2.100;2.300;1166.000;17.100
46.000; 0.000;16.510;0.000;0.000;2.000;2.300;1166.000;17.100
46.250; 0.000;16.510;0.000;0.000;2.000;2.300;1166.000;17.100
46.500; 0.000;16.510;0.000;0.000;2.100;2.300;1166.000;17.100
46.750; 0.000;16.510;0.000;0.000;2.100;2.300;1166.000;17.100
47.000; 0.000;16.510;0.000;0.000;2.100;2.300;1166.000;17.100
47.250; 0.000;16.510;0.000;0.000;2.200;2.300;1166.000;17.100
47.500; 0.000;16.510;0.000;0.000;2.200;2.300;1166.000;17.100
47.750; 0.000;16.510;0.000;0.000;2.200;2.300;1166.000;17.100
48.000; 0.000;16.510;0.000;0.000;2.300;2.300;1167.000;17.100
48.250; 0.000;16.510;0.000;0.000;2.400;2.300;1166.000;17.100
48.500; 0.000;16.510;0.000;0.000;2.400;2.300;1166.000;17.100
48.750; 0.000;16.510;0.000;0.000;2.500;2.300;1166.000;17.100
49.000; 0.000;16.510;0.000;0.000;2.500;2.300;1166.000;17.100
49.250; 0.000;16.510;0.000;0.000;2.500;2.300;1166.000;17.100
49.500; 0.000;16.510;0.000;0.000;2.500;2.300;1166.000;17.100
49.750; 0.000;16.510;0.000;0.000;2.500;2.300;1166.000;17.100
50.000; 0.000;16.510;0.000;0.000;2.600;2.300;1166.000;17.100
50.250; 0.000;16.510;0.000;0.000;2.600;2.300;1166.000;17.100
50.500; 0.000;16.510;0.000;0.000;2.600;2.300;1166.000;17.100
50.750; 0.000;16.510;0.000;0.000;2.600;2.300;1166.000;17.100
51.000; 0.000;16.510;0.000;0.000;2.500;2.300;1166.000;17.100
51.250; 0.000;16.510;0.000;0.000;2.400;2.300;1166.000;17.100
51.500; 0.000;16.510;0.000;0.000;2.300;2.300;1166.000;17.100
51.750; 0.000;16.510;0.000;0.000;2.300;2.300;1166.000;17.100
52.000; 0.000;16.520;0.000;0.000;2.200;2.300;1166.000;17.100
52.250; 0.000;16.520;0.000;0.000;2.100;2.300;1166.000;17.100
52.500; 0.000;16.520;0.000;0.000;2.000;2.300;1166.000;17.100
52.750; 0.000;16.520;0.000;0.000;1.900;2.300;1167.000;17.100
53.000; 0.000;16.520;0.000;0.000;1.800;2.300;1166.000;17.200
53.250; 0.000;16.520;0.000;0.000;1.700;2.300;1166.000;17.200
53.500; 0.000;16.520;0.000;0.000;1.600;2.300;1166.000;17.200
53.750; 0.000;16.520;0.000;0.000;1.600;2.300;1166.000;17.200
54.000; 0.000;16.520;0.000;0.000;1.600;2.300;1166.000;17.200
54.250; 0.000;16.520;0.000;0.000;1.700;2.300;1166.000;17.200
54.500; 0.000;16.520;0.000;0.000;1.800;2.300;1166.000;17.200
54.750; 0.000;16.520;0.000;0.000;1.900;2.300;1166.000;17.200
55.000; 0.000;16.520;0.000;0.000;2.100;2.300;1167.000;17.200
55.250; 0.000;16.520;0.000;0.000;2.200;2.300;1165.000;17.200
55.500; 0.000;16.520;0.000;0.000;2.200;2.300;1166.000;17.200
55.750; 0.000;16.520;0.000;0.000;2.200;2.300;1166.000;17.200
56.000; 0.000;16.520;0.000;0.000;2.200;2.300;1166.000;17.200
56.250; 0.000;16.520;0.000;0.000;2.100;2.300;1166.000;17.200
56.500; 0.000;16.520;0.000;0.000;2.000;2.300;1166.000;17.200
56.750; 0.000;16.520;0.000;0.000;1.900;2.300;1166.000;17.200
57.000; 0.000;16.520;0.000;0.000;1.800;2.300;1166.000;17.200
57.250; 0.000;16.520;0.000;0.000;1.800;2.300;1167.000;17.200
57.500; 0.000;16.520;0.000;0.000;1.700;2.300;1165.000;17.200
57.750; 0.000;16.520;0.000;0.000;1.700;2.300;1166.000;17.200
58.000; 0.000;16.520;0.000;0.000;1.700;2.300;1166.000;17.200
58.250; 0.000;16.520;0.000;0.000;1.800;2.300;1166.000;17.200
58.500; 0.000;16.520;0.000;0.000;1.900;2.300;1166.000;17.200
58.750; 0.000;16.520;0.000;0.000;2.100;2.300;1166.000;17.200
59.000; 0.000;16.520;0.000;0.000;2.200;2.300;1166.000;17.200
59.250; 0.000;16.530;0.000;0.000;2.400;2.300;1166.000;17.200
59.500; 0.000;16.520;0.000;0.000;2.300;2.300;1166.000;17.200
59.750; 0.000;16.530;0.000;0.000;2.200;2.300;1166.000;17.200
60.000; 0.000;16.530;0.000;0.000;2.000;2.300;1166.000;17.200
60.250; 0.000;16.530;0.000;0.000;1.800;2.300;1166.000;17.200
60.500; 0.000;16.530;0.000;0.000;1.600;2.300;1167.000;17.200
60.750; 0.000;16.530;0.000;0.000;1.400;2.300;1166.000;17.200
61.000; 0.000;16.530;0.000;0.000;1.200;2.300;1167.000;17.200
61.250; 0.000;16.530;0.000;0.000;1.100;2.300;1166.000;17.200
61.500; 0.000;16.530;0.000;0.000;1.200;2.300;1166.000;17.200
61.750; 0.000;16.530;0.000;0.000;1.100;2.300;1166.000;17.200
62.000; 0.000;16.530;0.000;0.000;1.000;2.300;1167.000;17.200
62.250; 0.000;16.530;0.000;0.000;1.000;2.300;1166.000;17.200
62.500; 0.000;16.530;0.000;0.000;1.000;2.300;1165.000;17.200
62.750; 0.000;16.530;0.000;0.000;0.900;2.300;1166.000;17.200
63.000; 0.000;16.530;0.000;0.000;0.900;2.300;1166.000;17.200
63.250; 0.000;16.530;0.000;0.000;1.000;2.300;1166.000;17.200
63.500; 0.000;16.530;0.000;0.000;1.100;2.300;1166.000;17.200
63.750; 0.000;16.530;0.000;0.000;1.100;2.300;1166.000;17.200
64.000; 0.000;16.530;0.000;0.000;1.200;2.300;1166.000;17.200
64.250; 0.000;16.530;0.000;0.000;1.100;2.300;1167.000;17.200
64.500; 0.000;16.530;0.000;0.000;1.200;2.300;1166.000;17.200
64.750; 0.000;16.530;0.000;0.000;1.200;2.300;1166.000;17.200
65.000; 0.000;16.530;0.000;0.000;1.200;2.300;1165.000;17.200
65.250; 0.000;16.530;0.000;0.000;1.300;2.300;1166.000;17.200
65.500; 0.000;16.530;0.000;0.000;1.600;2.300;1167.000;17.200
65.750; 0.000;16.530;0.000;0.000;1.900;2.300;1166.000;17.200
66.000; 0.000;16.530;0.000;0.000;2.200;2.300;1166.000;17.200
66.250; 0.000;16.530;0.000;0.000;2.500;2.300;1166.000;17.200
66.500; 0.000;16.530;0.000;0.000;2.800;2.300;1166.000;17.200
66.750; 0.000;16.530;0.000;0.000;3.100;2.300;1166.000;17.200
67.000; 0.000;16.530;0.000;0.000;3.200;2.300;1166.000;17.200
67.250; 0.000;16.530;0.000;0.000;3.400;2.300;1165.000;17.200
67.500; 0.000;16.530;0.000;0.000;3.400;2.300;1166.000;17.200
67.750; 0.000;16.530;0.000;0.000;3.300;2.300;1166.000;17.200
68.000; 0.000;16.530;0.000;0.000;3.200;2.300;1166.000;17.200
68.250; 0.000;16.530;0.000;0.000;3.100;2.300;1166.000;17.200
68.500; 0.000;16.530;0.000;0.000;3.000;2.300;1166.000;17.200
68.750; 0.000;16.530;0.000;0.000;2.900;2.300;1166.000;17.300
69.000; 0.000;16.530;0.000;0.000;2.900;2.300;1166.000;17.300
69.250; 0.000;16.530;0.000;0.000;2.800;2.300;1167.000;17.200
69.500; 0.000;16.530;0.000;0.000;2.800;2.300;1165.000;17.300
69.750; 0.000;16.530;0.000;0.000;2.700;2.300;1166.000;17.300
70.000; 0.000;16.530;0.000;0.000;2.700;2.300;1166.000;17.300
70.250; 0.000;16.530;0.000;0.000;2.600;2.300;1166.000;17.300
70.500; 0.000;16.220;3.120;925.000;2.700;0.000;1166.000;17.300
70.750; 0.000;15.950;5.310;1805.000;2.700;0.000;1166.000;17.300
71.000; 0.000;13.970;23.440;3720.000;2.800;0.000;1167.000;17.200
71.250; 0.000;12.790;32.920;4786.000;2.900;0.000;1166.000;17.200
71.500; 0.000;12.160;37.320;5175.000;2.900;0.000;1166.000;17.300
71.750; 0.000;12.160;36.140;5224.000;3.000;0.000;1166.000;17.300
72.000; 0.000;12.150;35.540;5236.000;3.100;0.000;1166.000;17.300
72.250; 0.000;12.130;35.210;5237.000;3.200;0.000;1166.000;17.300
72.500; 0.000;12.110;34.940;5236.000;3.500;0.000;1166.000;17.300
72.750; 0.000;12.100;34.620;5242.000;3.900;0.000;1166.000;17.300
73.000; 0.000;12.100;34.340;5247.000;4.400;0.000;1166.000;17.300
73.250; 0.000;12.060;34.410;5228.000;5.200;0.000;1166.000;17.300
73.500; 0.000;12.020;34.530;5202.000;6.100;0.000;1166.000;17.300
73.750; 0.000;11.980;34.610;5180.000;7.100;0.000;1167.000;17.300
74.000; 0.000;11.960;34.520;5175.000;8.200;0.000;1166.000;17.300
74.250; 0.000;11.960;34.330;5180.000;9.600;0.000;1166.000;17.300
74.500; 0.000;11.950;34.220;5177.000;11.000;0.000;1166.000;17.300
74.750; 0.000;11.950;34.000;5186.000;12.400;0.000;1166.000;17.300
75.000; 0.000;11.930;34.080;5172.000;13.800;0.000;1166.000;17.300
75.250; 0.000;11.900;34.150;5154.000;15.300;0.000;1166.000;17.300
75.500; 0.000;11.880;34.150;5146.000;16.600;0.000;1166.000;17.300
75.750; 0.000;11.860;34.130;5137.000;18.000;0.000;1167.000;17.300
76.000; 0.000;11.840;34.240;5122.000;19.300;0.000;1167.000;17.300
76.250; 0.000;11.810;34.320;5107.000;20.700;0.000;1166.000;17.300
76.500; 0.000;11.790;34.440;5092.000;22.100;0.000;1165.000;17.300
76.750; 0.000;11.790;34.340;5094.000;23.500;0.000;1166.000;17.300
77.000; 0.000;11.800;34.130;5104.000;25.000;0.000;1167.000;17.300
77.250; 0.000;11.750;34.450;5069.000;26.400;0.000;1166.000;17.300
77.500; 0.000;11.730;34.490;5059.000;27.700;0.000;1166.000;17.300
77.750; 0.000;11.720;34.530;5049.000;29.100;0.000;1166.000;17.300
78.000; 0.000;11.720;34.450;5052.000;30.400;0.000;1166.000;17.300
78.250; 0.000;11.720;34.260;5060.000;31.600;0.000;1166.000;17.300
78.500; 0.000;11.710;34.280;5054.000;32.800;0.000;1166.000;17.300
78.750; 0.000;11.700;34.280;5047.000;33.900;0.000;1165.000;17.300
79.000; 0.000;11.700;34.170;5050.000;34.900;0.000;1166.000;17.300
79.250; 0.000;11.690;34.210;5044.000;35.800;0.000;1166.000;17.300
79.500; 0.000;11.680;34.200;5041.000;36.800;0.000;1166.000;17.300
79.750; 0.000;11.670;34.240;5036.000;37.800;0.000;1166.000;17.300
80.000; 0.000;11.660;34.190;5032.000;38.900;0.000;1166.000;17.300
80.250; 0.000;11.660;34.200;5027.000;40.000;0.000;1167.000;17.300
80.500; 0.000;11.650;34.200;5023.000;41.200;0.000;1166.000;17.300
80.750; 0.000;11.640;34.140;5022.000;42.300;0.000;1166.000;17.300
81.000; 0.000;11.630;34.200;5016.000;43.500;0.000;1166.000;17.300
81.250; 0.000;11.620;34.200;5010.000;44.700;0.000;1167.000;17.300
81.500; 0.000;11.620;34.170;5009.000;45.900;0.000;1166.000;17.300
81.750; 0.000;11.610;34.230;5002.000;47.000;0.000;1166.000;17.300
82.000; 0.000;11.600;34.250;4996.000;48.100;0.000;1166.000;17.300
82.250; 0.000;11.590;34.220;4995.000;49.100;0.000;1166.000;17.300
82.500; 0.000;11.600;34.110;4999.000;50.100;0.000;1166.000;17.300
82.750; 0.000;11.610;33.960;5007.000;50.900;0.000;1166.000;17.300
83.000; 0.000;11.610;33.830;5016.000;51.700;0.000;1166.000;17.300
83.250; 0.000;11.620;33.680;5024.000;52.400;0.000;1167.000;17.300
83.500; 0.000;11.630;33.550;5032.000;53.100;0.000;1166.000;17.300
83.750; 0.000;11.630;33.450;5037.000;53.600;0.000;1166.000;17.300
84.000; 0.000;11.650;33.180;5053.000;54.300;0.000;1166.000;17.300
84.250; 0.000;11.670;32.870;5075.000;54.900;0.000;1166.000;17.300
84.500; 0.000;11.680;32.720;5085.000;55.400;0.000;1166.000;17.300
84.750; 0.000;11.690;32.630;5091.000;56.000;0.000;1167.000;17.300
85.000; 0.000;11.700;32.440;5104.000;56.600;0.000;1166.000;17.300
85.250; 0.000;11.710;32.360;5109.000;57.100;0.000;1166.000;17.300
85.500; 0.000;11.710;32.320;5110.000;57.800;0.000;1166.000;17.300
85.750; 0.000;11.700;32.390;5103.000;58.500;0.000;1166.000;17.300
86.000; 0.000;11.700;32.290;5106.000;59.200;0.000;1167.000;17.300
86.250; 0.000;11.700;32.210;5110.000;60.000;0.000;1165.000;17.300
86.500; 0.000;11.700;32.190;5111.000;60.900;0.000;1166.000;17.300
86.750; 0.000;11.700;32.190;5109.000;61.700;0.000;1166.000;17.300
87.000; 0.000;11.690;32.170;5108.000;62.600;0.000;1166.000;17.300
87.250; 0.000;11.680;32.290;5096.000;63.500;0.000;1166.000;17.300
87.500; 0.000;11.670;32.420;5086.000;64.400;0.000;1166.000;17.300
87.750; 0.000;11.660;32.420;5084.000;65.300;0.000;1166.000;17.400
88.000; 0.000;11.660;32.380;5081.000;66.200;0.000;1166.000;17.400
88.250; 0.000;11.650;32.370;5078.000;67.100;0.000;1166.000;17.400
88.500; 0.000;11.650;32.410;5077.000;68.000;0.000;1165.000;17.400
88.750; 0.000;11.640;32.390;5073.000;69.000;0.000;1166.000;17.400
89.000; 0.000;11.640;32.370;5070.000;69.900;0.000;1167.000;17.400
89.250; 0.000;11.630;32.450;5064.000;71.000;0.000;1166.000;17.400
89.500; 0.000;11.620;32.490;5058.000;71.900;0.000;1166.000;17.400
89.750; 0.000;11.610;32.610;5048.000;72.900;0.000;1167.000;17.400
90.000; 0.000;11.590;32.660;5038.000;73.900;0.000;1166.000;17.400
90.250; 0.000;11.590;32.720;5033.000;74.800;0.000;1166.000;17.400
90.500; 0.000;11.580;32.800;5027.000;75.700;0.000;1166.000;17.400
