;;;;;;;;;;;;;;;;;0;0;0;1;1;1;4;4;7;8;8;8;8;8;8;16;17;18;
;;;;;;;;;;;;;;;;;RECEIVER;RECEIVER;RECEIVER;CURRENT F1678;CURRENT F1678;CURRENT F1678;VARIO F1712;VARIO F1712;TEMPERATURE SENSOR;GPS F1675  ;GPS F1675  ;GPS F1675  ;GPS F1675  ;GPS F1675  ;GPS F1675  ;TEMPERATURE SENSOR;TEMPERATURE SENSOR;TEMPERATURE SENSOR;
TIME;CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8;CH9;CH10;CH11;CH12;CH13;CH14;CH15;CH16;BATTERY;EXTERNAL BATTERY;STATUS;CURRENT;VOLTAGE;CAPACITY;ALTITUDE;VARIOMETER;TEMPERATURE;DISTANCE;SPEED;ALTITUDE;VARIOMETER;LATITUDE;LONGITUDE;TEMPERATURE;TEMPERATURE;TEMPERATURE;
15578;21,4;-11,9;-134,8;14,1;6,8;-139,9;152,2;103,4;0,0;0,0;99,9;-100,0;0,0;-100,0;-100,0;0,0;  5,8;  0,0;3;   0,0;  5,7;    24;    0;   0,0; 334;    0;  0;    0;  -0,1;N 46:46.3618;E 13:49.8954;  -1;   0;   0;
16609;21,4;-11,9;-134,8;14,1;6,8;-139,9;152,2;103,4;0,0;0,0;99,9;-100,0;0,0;-100,0;-100,0;0,0;  5,8;  0,0;3;   0,0;  5,7;    24;    0;   0,0; 334;    0;  0;    0;  -0,1;N 46:46.3618;E 13:49.8954;  -1;   0;   0;
17639;21,4;-11,9;-134,8;14,1;6,8;-139,9;152,2;103,4;0,0;0,0;99,9;-100,0;0,0;-100,0;-100,0;0,0;  5,8;  0,0;3;   0,0;  5,7;    24;    0;   0,0;   1;    0;  0;    0;   0,0;N 46:46.3618;E 13:49.8954;  -1;   0;   0;
18670;21,4;-11,9;-134,8;14,1;6,8;-139,9;152,2;103,4;0,0;0,0;99,9;-100,0;0,0;-100,0;-100,0;0,0;  5,8;  0,0;3;   0,0;  5,7;    24;    1;   0,0; 334;    0;  0;    0;  +0,4;N 46:46.3618;E 13:49.8954;  -1;   0;   0;
19702;21,4;-11,9;-134,8;14,1;6,8;-139,9;152,2;103,4;0,0;0,0;99,9;-100,0;0,0;-100,0;-100,0;0,0;  5,8;  0,0;3;   0,0;  5,7;    24;    1;   0,0; 334;    2;  2;    0;  +0,7;N 46:46.3607;E 13:49.8960;  -1;   0;   0;
20733;21,4;-11,9;-134,8;14,1;6,8;-139,9;152,2;103,4;0,0;0,0;99,9;-100,0;0,0;-100,0;-100,0;0,0;  5,8;  0,0;3;   0,0;  5,7;    24;    2;   0,0; 334;    2;  2;    1;  +0,5;N 46:46.3609;E 13:49.8962;  -1;   0;   0;
21764;21,4;-11,9;-134,8;14,1;6,8;-139,9;152,2;103,4;0,0;0,0;99,9;-100,0;0,0;-100,0;-100,0;0,0;  5,8;  0,0;3;   0,0;  5,7;    24;    2;   0,0; 334;    2;  2;    1;   0,0;N 46:46.3614;E 13:49.8963;  -1;   0;   0;
22794;21,4;-11,9;-134,8;14,1;6,8;-139,9;152,2;103,4;0,0;0,0;99,9;-100,0;0,0;-100,0;-100,0;0,0;  5,8;  0,0;3;   0,0;  5,7;    24;    2;   0,0;   1;    2;  2;    1;  +0,1;N 46:46.3618;E 13:49.8966;  -1;   0;   0;
23825;21,4;-11,9;-134,8;14,1;6,8;-139,9;152,2;103,4;0,0;0,0;99,9;-100,0;0,0;-100,0;-100,0;0,0;  5,8;  0,0;3;   0,0;  5,7;    24;    2;   0,0; 334;    2;  3;    0;  -0,3;N 46:46.3625;E 13:49.8966;  -1;   0;   0;
24856;21,4;-11,9;-134,8;14,1;6,8;-139,9;152,2;103,4;0,0;0,0;99,9;-100,0;0,0;-100,0;-100,0;0,0;  5,8;  0,0;3;   0,0;  5,7;    24;    2;   0,0; 334;    3;  3;    0;  +0,1;N 46:46.3633;E 13:49.8965;  -1;   0;   0;
25889;21,4;-11,9;-134,8;14,1;6,8;-139,9;152,2;103,4;0,0;0,0;99,9;-100,0;0,0;-100,0;-100,0;0,0;  5,8;  0,0;3;   0,0;  5,7;    24;    2;   0,0; 334;    4;  3;    0;  +0,1;N 46:46.3640;E 13:49.8961;  -1;   0;   0;
26921;21,4;-11,9;-134,8;14,1;6,8;-139,9;152,2;103,4;0,0;0,0;99,9;-100,0;0,0;-100,0;-100,0;0,0;  5,8;  0,0;3;   0,0;  5,7;    24;    2;   0,0; 334;    5;  3;    0;  -0,2;N 46:46.3647;E 13:49.8958;  -1;   0;   0;
27953;21,4;-11,9;-134,8;14,1;6,8;-139,9;152,2;103,4;0,0;0,0;99,9;-100,0;0,0;-100,0;-100,0;0,0;  5,8;  0,0;3;   0,0;  5,7;    24;    2;   0,0;   1;    6;  4;    0;  -0,2;N 46:46.3655;E 13:49.8950;  -1;   0;   0;
28983;21,4;-11,9;-134,8;14,1;6,8;-139,9;152,2;103,4;0,0;0,0;99,9;-100,0;0,0;-100,0;-100,0;0,0;  5,8;  0,0;3;   0,0;  5,7;    24;    2;   0,0; 334;    8;  3;    0;  +0,1;N 46:46.3661;E 13:49.8948;  -1;   0;   0;
30013;21,4;-11,9;-134,8;14,1;6,8;-139,9;152,2;103,4;0,0;0,0;99,9;-100,0;0,0;-100,0;-100,0;0,0;  5,8;  0,0;3;   0,0;  5,7;    24;    2;   0,0; 334;    8;  3;    0;   0,0;N 46:46.3662;E 13:49.8945;  -1;   0;   0;
