Date,Time,GSpd(kmh),RSSI(dB),RxBt(V),GPS,GAlt(m),Date,Dist(m),Rud,Ele,Thr,Ail,S1,S2,S3,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2019-08-18,12:52:42.120,0.0,86,5.5,42.736553 11.995711,2.5,2019-08-18 10:52:42,2,0,1,-1024,-2,3,-20,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:52:44.120,0.0,94,5.5,42.736553 11.995711,2.7,2019-08-18 10:52:42,2,0,1,-1024,-2,3,-20,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:52:46.120,-0.1,101,5.5,42.736555 11.995711,2.4,2019-08-18 10:52:42,2,0,1,-1024,-2,3,-20,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:52:48.120,0.2,84,5.5,42.736553 11.995711,2.4,2019-08-18 10:52:42,2,0,1,-1024,-2,3,-20,0,0,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:52:50.120,-0.1,98,5.5,42.736553 11.995711,2.4,2019-08-18 10:52:42,2,0,1,-1024,-2,3,-20,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:52:52.120,-0.1,96,5.5,42.736556 11.995711,2.3,2019-08-18 10:52:53,2,0,1,-1024,-2,3,-20,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:52:54.120,0.1,101,5.5,42.736560 11.995713,2.3,2019-08-18 10:52:53,2,0,1,-1024,-2,3,-20,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:52:56.120,0.1,102,5.5,42.736563 11.995713,2.3,2019-08-18 10:52:53,2,0,1,-1024,-2,3,-20,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:52:58.120,0.1,86,5.5,42.736561 11.995713,2.2,2019-08-18 10:52:53,2,0,1,-1024,-2,3,-20,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:53:00.120,-0.1,99,5.5,42.736565 11.995711,2.1,2019-08-18 10:52:53,2,0,1,-1024,-2,3,-20,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:53:02.120,0.0,89,5.5,42.736568 11.995711,2.1,2019-08-18 10:53:03,2,-1,1,-1024,-2,3,-20,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:53:04.120,0.0,90,5.5,42.736570 11.995713,2.1,2019-08-18 10:53:03,2,0,1,-1024,-2,3,-20,0,0,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:53:06.120,0.1,94,5.5,42.736571 11.995713,2.0,2019-08-18 10:53:03,2,0,1,-1024,-2,3,-20,0,0,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:53:08.120,0.7,85,5.5,42.736573 11.995711,2.3,2019-08-18 10:53:03,2,0,1,-1024,-2,3,-20,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:53:10.120,0.0,99,5.5,42.736576 11.995711,2.2,2019-08-18 10:53:03,3,0,1,-1024,-2,3,-20,0,0,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:53:12.120,0.2,90,5.5,42.736578 11.995711,2.3,2019-08-18 10:53:13,3,0,1,-1024,-2,3,-20,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:53:14.120,0.6,97,5.5,42.736580 11.995710,2.4,2019-08-18 10:53:13,3,0,1,-1024,-2,3,-20,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:53:16.120,0.1,97,5.5,42.736580 11.995710,2.6,2019-08-18 10:53:13,3,0,1,-1024,-2,3,-20,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:53:18.120,0.0,101,5.5,42.736580 11.995711,2.5,2019-08-18 10:53:13,3,0,1,-1024,-2,3,-20,0,0,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:53:20.120,0.0,98,5.5,42.736580 11.995711,2.3,2019-08-18 10:53:13,3,471,1,-973,-2,3,-20,0,0,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:53:22.120,0.2,99,5.5,42.736580 11.995711,2.2,2019-08-18 10:53:23,3,1024,1,-856,-2,3,-20,0,0,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:53:24.120,-0.1,97,5.4,42.736580 11.995713,1.9,2019-08-18 10:53:23,3,-2,1,-1024,-2,3,-20,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:53:26.120,0.2,98,5.4,42.736581 11.995715,1.9,2019-08-18 10:53:23,3,-2,1,-1024,-2,3,-20,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:53:28.120,0.1,86,5.4,42.736580 11.995713,2.1,2019-08-18 10:53:23,3,-2,1,-1024,-2,3,-20,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:53:30.120,-0.1,96,5.4,42.736580 11.995715,2.5,2019-08-18 10:53:23,3,-2,1,-1024,-2,3,-20,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,8.2
