AkkuMasterC4
Zeit [sec];Spannung [V];Strom [A];Ladung [mAh]
1810.00; 6.600;0.500;251.000
1820.00; 6.595;0.500;253.000
1830.00; 6.590;0.500;254.000
1840.00; 6.605;0.500;255.000
1850.00; 6.585;0.500;257.000
1860.00; 6.600;0.500;258.000
1870.00; 6.600;0.500;259.000
1880.00; 6.585;0.500;261.000
1890.00; 6.605;0.500;262.000
1900.00; 6.605;0.500;263.000
1910.00; 6.615;0.500;265.000
1920.00; 6.610;0.500;266.000
1930.00; 6.620;0.500;267.000
1940.00; 6.630;0.500;269.000
1950.00; 6.625;0.500;270.000
1960.00; 6.605;0.500;271.000
1970.00; 6.605;0.500;273.000
1980.00; 6.620;0.500;275.000
1990.00; 6.610;0.500;276.000
2000.00; 6.635;0.500;278.000
2010.00; 6.630;0.500;279.000
2020.00; 6.605;0.500;280.000
2030.00; 6.630;0.500;282.000
2040.00; 6.625;0.500;283.000
2050.00; 6.625;0.500;284.000
2060.00; 6.635;0.500;286.000
2070.00; 6.635;0.500;287.000
2080.00; 6.630;0.500;288.000
2090.00; 6.635;0.500;290.000
2100.00; 6.645;0.500;291.000
2110.00; 6.640;0.500;292.000
2120.00; 6.635;0.500;294.000
2130.00; 6.640;0.500;295.000
2140.00; 6.630;0.500;296.000
2150.00; 6.640;0.500;298.000
2160.00; 6.645;0.500;300.000
2170.00; 6.640;0.500;301.000
2180.00; 6.655;0.500;303.000
2190.00; 6.620;0.500;304.000
2200.00; 6.655;0.500;305.000
2210.00; 6.650;0.500;307.000
2220.00; 6.635;0.500;308.000
2230.00; 6.660;0.500;309.000
2240.00; 6.640;0.500;311.000
2250.00; 6.650;0.500;312.000
2260.00; 6.675;0.500;313.000
2270.00; 6.660;0.500;315.000
2280.00; 6.645;0.500;316.000
2290.00; 6.650;0.500;317.000
2300.00; 6.675;0.500;319.000
2310.00; 6.660;0.500;320.000
2320.00; 6.660;0.500;321.000
2330.00; 6.675;0.500;323.000
2340.00; 6.675;0.500;325.000
2350.00; 6.670;0.500;326.000
2360.00; 6.670;0.500;328.000
2370.00; 6.675;0.500;329.000
2380.00; 6.665;0.500;330.000
2390.00; 6.670;0.500;332.000
2400.00; 6.670;0.500;333.000
2410.00; 6.675;0.500;334.000
2420.00; 6.675;0.500;336.000
2430.00; 6.670;0.500;337.000
2440.00; 6.675;0.500;338.000
2450.00; 6.675;0.500;340.000
2460.00; 6.690;0.500;341.000
2470.00; 6.680;0.500;342.000
2480.00; 6.675;0.500;344.000
2490.00; 6.670;0.500;345.000
2500.00; 6.690;0.500;346.000
2510.00; 6.685;0.500;348.000
2520.00; 6.690;0.500;350.000
2530.00; 6.680;0.500;351.000
2540.00; 6.675;0.500;353.000
2550.00; 6.695;0.500;354.000
2560.00; 6.705;0.500;355.000
2570.00; 6.690;0.500;357.000
2580.00; 6.690;0.500;358.000
2590.00; 6.700;0.500;359.000
2600.00; 6.695;0.500;361.000
2610.00; 6.705;0.500;362.000
2620.00; 6.695;0.500;363.000
2630.00; 6.695;0.500;365.000
2640.00; 6.700;0.500;366.000
2650.00; 6.695;0.500;367.000
2660.00; 6.690;0.500;369.000
2670.00; 6.710;0.500;370.000
2680.00; 6.705;0.500;371.000
2690.00; 6.705;0.500;373.000
2700.00; 6.700;0.500;375.000
2710.00; 6.710;0.500;376.000
2720.00; 6.710;0.500;378.000
2730.00; 6.690;0.500;379.000
2740.00; 6.690;0.500;380.000
2750.00; 6.710;0.500;382.000
2760.00; 6.705;0.500;383.000
2770.00; 6.705;0.500;384.000
2780.00; 6.705;0.500;386.000
2790.00; 6.710;0.500;387.000
2800.00; 6.710;0.500;388.000
2810.00; 6.710;0.500;390.000
2820.00; 6.715;0.500;391.000
2830.00; 6.705;0.500;392.000
2840.00; 6.720;0.500;394.000
2850.00; 6.725;0.500;395.000
2860.00; 6.720;0.500;396.000
2870.00; 6.725;0.500;398.000
2880.00; 6.720;0.500;400.000
2890.00; 6.715;0.500;401.000
2900.00; 6.720;0.500;403.000
2910.00; 6.710;0.500;404.000
2920.00; 6.710;0.500;405.000
2930.00; 6.720;0.500;407.000
2940.00; 6.725;0.500;408.000
2950.00; 6.720;0.500;409.000
2960.00; 6.725;0.500;411.000
2970.00; 6.725;0.500;412.000
2980.00; 6.720;0.500;413.000
2990.00; 6.720;0.500;415.000
3000.00; 6.735;0.500;416.000
3010.00; 6.735;0.500;417.000
3020.00; 6.725;0.500;419.000
3030.00; 6.740;0.500;420.000
3040.00; 6.735;0.500;421.000
3050.00; 6.725;0.500;423.000
3060.00; 6.730;0.500;425.000
