AkkuMasterC4
Zeit [sec];Spannung [V];Strom [A];Ladung [mAh]
0.00; 4.545;0.150;0.000
10.00; 4.620;0.150;0.000
20.00; 4.670;0.150;1.000
30.00; 4.665;0.150;1.000
40.00; 4.685;0.150;1.000
50.00; 4.715;0.150;2.000
60.00; 4.720;0.150;2.000
70.00; 4.740;0.150;2.000
80.00; 4.755;0.150;3.000
90.00; 4.755;0.150;3.000
100.00; 4.770;0.150;3.000
110.00; 4.785;0.150;4.000
120.00; 4.800;0.150;5.000
130.00; 4.815;0.150;5.000
140.00; 4.800;0.150;6.000
150.00; 4.810;0.150;6.000
160.00; 4.830;0.150;6.000
170.00; 4.830;0.150;7.000
180.00; 4.845;0.150;7.000
190.00; 4.855;0.150;7.000
200.00; 4.860;0.150;8.000
210.00; 4.880;0.150;8.000
220.00; 4.865;0.150;8.000
230.00; 4.875;0.150;9.000
240.00; 4.895;0.150;10.000
250.00; 4.910;0.150;10.000
260.00; 4.905;0.150;11.000
270.00; 4.890;0.150;11.000
280.00; 4.910;0.150;11.000
290.00; 4.920;0.150;12.000
300.00; 4.920;0.150;12.000
310.00; 4.935;0.150;12.000
320.00; 4.930;0.150;13.000
330.00; 4.925;0.150;13.000
340.00; 4.950;0.150;13.000
350.00; 4.945;0.150;14.000
360.00; 4.960;0.150;15.000
370.00; 4.965;0.150;15.000
380.00; 4.955;0.150;16.000
390.00; 4.975;0.150;16.000
400.00; 4.985;0.150;16.000
410.00; 4.975;0.150;17.000
420.00; 4.980;0.150;17.000
430.00; 4.970;0.150;17.000
440.00; 4.995;0.150;18.000
450.00; 5.010;0.150;18.000
460.00; 5.010;0.150;18.000
470.00; 5.005;0.150;19.000
480.00; 5.005;0.150;20.000
490.00; 5.015;0.150;20.000
500.00; 5.010;0.150;21.000
510.00; 5.020;0.150;21.000
520.00; 5.015;0.150;21.000
530.00; 5.030;0.150;22.000
540.00; 5.010;0.150;22.000
550.00; 5.025;0.150;22.000
560.00; 5.035;0.150;23.000
570.00; 5.040;0.150;23.000
580.00; 5.050;0.150;23.000
590.00; 5.015;0.150;24.000
600.00; 5.050;0.150;25.000
610.00; 5.045;0.150;25.000
620.00; 5.045;0.150;26.000
630.00; 5.055;0.150;26.000
640.00; 5.060;0.150;26.000
650.00; 5.085;0.150;27.000
660.00; 5.075;0.150;27.000
670.00; 5.075;0.150;27.000
680.00; 5.075;0.150;28.000
690.00; 5.070;0.150;28.000
700.00; 5.075;0.150;28.000
710.00; 5.085;0.150;29.000
720.00; 5.080;0.150;30.000
730.00; 5.100;0.150;30.000
740.00; 5.085;0.150;31.000
750.00; 5.085;0.150;31.000
760.00; 5.085;0.150;31.000
770.00; 5.100;0.150;32.000
780.00; 5.100;0.150;32.000
790.00; 5.105;0.150;32.000
800.00; 5.095;0.150;33.000
810.00; 5.095;0.150;33.000
820.00; 5.105;0.150;33.000
830.00; 5.105;0.150;34.000
840.00; 5.100;0.150;35.000
850.00; 5.120;0.150;35.000
860.00; 5.125;0.150;36.000
870.00; 5.120;0.150;36.000
880.00; 5.125;0.150;36.000
890.00; 5.130;0.150;37.000
900.00; 5.130;0.150;37.000
910.00; 5.135;0.150;37.000
920.00; 5.130;0.150;38.000
930.00; 5.130;0.150;38.000
940.00; 5.135;0.150;38.000
950.00; 5.135;0.150;39.000
960.00; 5.145;0.150;40.000
970.00; 5.140;0.150;40.000
980.00; 5.135;0.150;41.000
990.00; 5.155;0.150;41.000
1000.00; 5.160;0.150;41.000
1010.00; 5.145;0.150;42.000
1020.00; 5.150;0.150;42.000
1030.00; 5.155;0.150;42.000
1040.00; 5.145;0.150;43.000
1050.00; 5.165;0.150;43.000
1060.00; 5.160;0.150;43.000
1070.00; 5.160;0.150;44.000
1080.00; 5.150;0.150;45.000
