AkkuMasterC4
Zeit [sec];Spannung [V];Strom [A];Ladung [mAh]
0.00; 6.505;0.500;6.000
10.00; 6.490;0.500;8.000
20.00; 6.495;0.500;9.000
30.00; 6.470;0.500;10.000
40.00; 6.470;0.500;11.000
50.00; 6.475;0.500;13.000
60.00; 6.460;0.500;14.000
70.00; 6.465;0.500;15.000
80.00; 6.445;0.500;16.000
90.00; 6.445;0.500;18.000
100.00; 6.425;0.500;19.000
110.00; 6.415;0.500;21.000
120.00; 6.420;0.500;22.000
130.00; 6.420;0.500;23.000
140.00; 6.395;0.500;25.000
150.00; 6.405;0.500;27.000
160.00; 6.400;0.500;28.000
170.00; 6.390;0.500;30.000
180.00; 6.390;0.500;31.000
190.00; 6.390;0.500;32.000
200.00; 6.380;0.500;33.000
210.00; 6.365;0.500;35.000
220.00; 6.375;0.500;36.000
230.00; 6.370;0.500;38.000
240.00; 6.375;0.500;39.000
250.00; 6.360;0.500;40.000
260.00; 6.365;0.500;41.000
270.00; 6.360;0.500;43.000
280.00; 6.360;0.500;44.000
290.00; 6.360;0.500;46.000
300.00; 6.365;0.500;47.000
310.00; 6.345;0.500;48.000
320.00; 6.345;0.500;50.000
330.00; 6.350;0.500;52.000
340.00; 6.330;0.500;53.000
350.00; 6.340;0.500;55.000
360.00; 6.335;0.500;56.000
370.00; 6.330;0.500;57.000
380.00; 6.330;0.500;58.000
390.00; 6.335;0.500;60.000
400.00; 6.335;0.500;61.000
410.00; 6.315;0.500;63.000
420.00; 6.325;0.500;64.000
430.00; 6.330;0.500;65.000
440.00; 6.320;0.500;66.000
450.00; 6.310;0.500;68.000
460.00; 6.320;0.500;69.000
470.00; 6.320;0.500;71.000
480.00; 6.305;0.500;72.000
490.00; 6.310;0.500;73.000
500.00; 6.305;0.500;75.000
510.00; 6.310;0.500;77.000
520.00; 6.305;0.500;78.000
530.00; 6.310;0.500;80.000
540.00; 6.305;0.500;81.000
550.00; 6.305;0.500;82.000
560.00; 6.295;0.500;83.000
570.00; 6.295;0.500;85.000
580.00; 6.300;0.500;86.000
590.00; 6.285;0.500;88.000
600.00; 6.290;0.500;89.000
610.00; 6.295;0.500;90.000
620.00; 6.290;0.500;91.000
630.00; 6.285;0.500;93.000
640.00; 6.295;0.500;94.000
650.00; 6.285;0.500;96.000
660.00; 6.270;0.500;97.000
670.00; 6.280;0.500;98.000
680.00; 6.285;0.500;100.000
690.00; 6.285;0.500;102.000
700.00; 6.275;0.500;103.000
710.00; 6.280;0.500;105.000
720.00; 6.255;0.500;106.000
730.00; 6.280;0.500;107.000
740.00; 6.275;0.500;108.000
750.00; 6.275;0.500;110.000
760.00; 6.280;0.500;111.000
770.00; 6.270;0.500;113.000
780.00; 6.270;0.500;114.000
790.00; 6.275;0.500;115.000
800.00; 6.260;0.500;116.000
810.00; 6.260;0.500;118.000
820.00; 6.275;0.500;119.000
830.00; 6.280;0.500;121.000
840.00; 6.270;0.500;122.000
850.00; 6.270;0.500;123.000
860.00; 6.270;0.500;125.000
870.00; 6.255;0.500;127.000
880.00; 6.275;0.500;128.000
890.00; 6.260;0.500;130.000
900.00; 6.260;0.500;131.000
910.00; 6.270;0.500;132.000
920.00; 6.280;0.500;133.000
930.00; 6.270;0.500;135.000
940.00; 6.260;0.500;136.000
950.00; 6.250;0.500;138.000
960.00; 6.265;0.500;139.000
970.00; 6.255;0.500;140.000
980.00; 6.240;0.500;141.000
990.00; 6.270;0.500;143.000
1000.00; 6.255;0.500;144.000
1010.00; 6.245;0.500;146.000
1020.00; 6.270;0.500;147.000
1030.00; 6.255;0.500;148.000
1040.00; 6.220;0.500;150.000
1050.00; 6.235;0.500;152.000
1060.00; 6.245;0.500;153.000
